iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.41067564487457275,EO,0.8286,N
1,val,0.7251743078231812,EO,0.4013,Y
1,test,0.7290213704109192,EO,0.4193,Y
2,val,0.850204348564148,EO,0.5188,Y
2,test,0.8480404019355774,EO,0.4992,Y
3,val,0.834816038608551,EO,0.3546,Y
3,test,0.8232748508453369,EO,0.3053,Y
4,val,0.8446742296218872,EO,0.4299,Y
4,test,0.830968976020813,EO,0.3599,Y
5,val,0.8677566647529602,EO,0.6059,Y
5,test,0.8588603138923645,EO,0.577,Y
6,val,0.8848280906677246,EO,0.7871,Y
6,test,0.8829045295715332,EO,0.7829,Y
7,val,0.8891560435295105,EO,0.897,Y
7,test,0.8881942629814148,EO,0.8905,Y
8,val,0.8821831941604614,EO,0.9755,Y
8,test,0.8939648866653442,EO,0.9837,Y
9,val,0.8797788023948669,EO,0.9978,Y
9,test,0.8893964886665344,EO,0,Y
10,val,0.879538357257843,EO,0,Y
10,test,0.887472927570343,EO,0,Y
11,val,0.8797788023948669,EO,0,Y
11,test,0.8881942629814148,EO,0,Y
12,val,0.8805001378059387,EO,0.9994,N
12,test,0.8896369338035583,EO,0.9994,N
13,val,0.8821831941604614,EO,0.9935,Y
13,test,0.8915604948997498,EO,0.9918,N
14,val,0.8824236392974854,EO,0.9978,N
14,test,0.8922817707061768,EO,0.9978,N
15,val,0.8819427490234375,EO,0.9967,Y
15,test,0.8925222158432007,EO,0.9913,N
16,val,0.8841067552566528,EO,0.9969,N
16,test,0.8922817707061768,EO,0.9947,N
17,val,0.8865112066268921,EO,0.9703,Y
17,test,0.8903582692146301,EO,0.9907,Y
18,val,0.8879538178443909,EO,0.9435,Y
18,test,0.8857898712158203,EO,0.9464,Y
19,val,0.8853089809417725,EO,0.9648,Y
19,test,0.890598714351654,EO,0.9861,Y
20,val,0.8881942629814148,EO,0.9482,Y
20,test,0.8869920372962952,EO,0.952,Y
21,val,0.8848280906677246,EO,0.9693,Y
21,test,0.8937244415283203,EO,0.9813,Y
22,val,0.8843472003936768,EO,0.9889,Y
22,test,0.8942053318023682,EO,0.9978,N
23,val,0.8841067552566528,EO,0.9968,Y
23,test,0.8939648866653442,EO,0.9932,N
24,val,0.8824236392974854,EO,0.9981,N
24,test,0.8903582692146301,EO,0.9981,N
25,val,0.8845876455307007,EO,0.9972,N
25,test,0.8915604948997498,EO,0.9944,N
26,val,0.8889155983924866,EO,0.9367,Y
26,test,0.886751651763916,EO,0.9354,Y
27,val,0.8862707614898682,EO,0.9711,Y
27,test,0.890598714351654,EO,0.9892,Y
28,val,0.8838663101196289,EO,0.9884,Y
28,test,0.8949266672134399,EO,0.9945,N
29,val,0.8817023038864136,EO,0.9878,N
29,test,0.8884347081184387,EO,0.9845,N
30,val,0.8824236392974854,EO,0.9837,N
30,test,0.8848280906677246,EO,0.9748,N
31,val,0.8730463981628418,EO,0.9335,Y
31,test,0.8675162196159363,EO,0.9403,Y
32,val,0.8783361315727234,EO,0.9945,N
32,test,0.8778552412986755,EO,0.9712,N
33,val,0.8749699592590332,EO,0.9609,Y
33,test,0.8696802258491516,EO,0.9629,Y
34,val,0.8845876455307007,EO,0.9984,N
34,test,0.8848280906677246,EO,0.9844,N
35,val,0.8797788023948669,EO,0.9743,Y
35,test,0.8776147961616516,EO,0.9984,Y
36,val,0.8848280906677246,EO,0.9897,N
36,test,0.8886751532554626,EO,0.9795,N
37,val,0.8831449747085571,EO,0.9977,Y
37,test,0.8831449747085571,EO,0.9827,N
38,val,0.8831449747085571,EO,0.9784,N
38,test,0.8845876455307007,EO,0.9698,N
39,val,0.8857898712158203,EO,0.9994,Y
39,test,0.8862707614898682,EO,0.9851,N
40,val,0.8821831941604614,EO,0.9797,N
40,test,0.8817023038864136,EO,0.9711,N
41,val,0.8812214732170105,EO,0.9969,N
41,test,0.8889155983924866,EO,0.9963,N
42,val,0.879538357257843,EO,0.9814,N
42,test,0.8812214732170105,EO,0.972,N
43,val,0.8824236392974854,EO,0.9878,N
43,test,0.8855494260787964,EO,0.9724,N
44,val,0.8845876455307007,EO,0.9862,Y
44,test,0.8850685358047485,EO,0.9982,N
45,val,0.8826640844345093,EO,0.995,N
45,test,0.890839159488678,EO,0.9953,N
46,val,0.8766530156135559,EO,0.9962,N
46,test,0.8747295141220093,EO,0.9712,N
47,val,0.8595816493034363,EO,0.9872,N
47,test,0.8554940819740295,EO,0.9697,N
48,val,0.7884106636047363,EO,0.7763,Y
48,test,0.7696561813354492,EO,0.7588,Y
49,val,0.8785765767097473,EO,0.9722,N
49,test,0.8785765767097473,EO,0.9642,N
50,val,0.8783361315727234,EO,0.9736,Y
50,test,0.8720846176147461,EO,0.9747,Y
