iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.5883625745773315,EQO,0.2245,Y
1,val,0.8566963076591492,EQO,0.3972,Y
1,test,0.8691993355751038,EQO,0.4428,Y
2,val,0.8817023038864136,EQO,0.5937,Y
2,test,0.8869920372962952,EQO,0.5812,Y
3,val,0.8841067552566528,EQO,0.471,Y
3,test,0.887472927570343,EQO,0.4885,Y
4,val,0.8920413851737976,EQO,0.5327,Y
4,test,0.8954075574874878,EQO,0.5484,Y
5,val,0.8954075574874878,EQO,0.6776,Y
5,test,0.8968502283096313,EQO,0.6634,Y
6,val,0.8949266672134399,EQO,0.8181,Y
6,test,0.8978119492530823,EQO,0.7967,Y
7,val,0.8958884477615356,EQO,0.8577,Y
7,test,0.8973311185836792,EQO,0.8366,Y
8,val,0.8968502283096313,EQO,0.8265,Y
8,test,0.8973311185836792,EQO,0.7984,Y
9,val,0.8973311185836792,EQO,0.8954,Y
9,test,0.8973311185836792,EQO,0.8747,Y
10,val,0.8968502283096313,EQO,0.8697,Y
10,test,0.898533284664154,EQO,0.8418,Y
11,val,0.8961288928985596,EQO,0.8666,Y
11,test,0.8982928395271301,EQO,0.8369,Y
12,val,0.8970906734466553,EQO,0.8747,Y
12,test,0.898773729801178,EQO,0.8504,Y
13,val,0.8966097831726074,EQO,0.8335,Y
13,test,0.8978119492530823,EQO,0.7902,Y
14,val,0.8968502283096313,EQO,0.8318,Y
14,test,0.8980523943901062,EQO,0.7989,Y
15,val,0.8978119492530823,EQO,0.866,Y
15,test,0.898533284664154,EQO,0.838,Y
16,val,0.898773729801178,EQO,0.8902,Y
16,test,0.8973311185836792,EQO,0.8709,Y
17,val,0.8982928395271301,EQO,0.8854,Y
17,test,0.8973311185836792,EQO,0.8645,Y
18,val,0.8980523943901062,EQO,0.8907,Y
18,test,0.8978119492530823,EQO,0.8768,Y
19,val,0.8975715041160583,EQO,0.8846,Y
19,test,0.8978119492530823,EQO,0.8692,Y
20,val,0.8954075574874878,EQO,0.9342,Y
20,test,0.8958884477615356,EQO,0.9181,Y
21,val,0.8982928395271301,EQO,0.8763,Y
21,test,0.8982928395271301,EQO,0.8445,Y
22,val,0.8978119492530823,EQO,0.8975,Y
22,test,0.8970906734466553,EQO,0.8813,Y
23,val,0.8970906734466553,EQO,0.8943,Y
23,test,0.8970906734466553,EQO,0.8813,Y
24,val,0.8968502283096313,EQO,0.9129,Y
24,test,0.8970906734466553,EQO,0.9004,Y
25,val,0.8963693380355835,EQO,0.9187,Y
25,test,0.8968502283096313,EQO,0.9032,Y
26,val,0.8954075574874878,EQO,0.9342,Y
26,test,0.8963693380355835,EQO,0.924,Y
27,val,0.8970906734466553,EQO,0.8904,Y
27,test,0.8975715041160583,EQO,0.8681,Y
28,val,0.8956480026245117,EQO,0.9313,Y
28,test,0.8961288928985596,EQO,0.923,Y
29,val,0.8937244415283203,EQO,0.9661,Y
29,test,0.8956480026245117,EQO,0.9476,Y
30,val,0.8932435512542725,EQO,0.9758,Y
30,test,0.8939648866653442,EQO,0.9823,Y
31,val,0.8937244415283203,EQO,0.9661,Y
31,test,0.8954075574874878,EQO,0.9504,Y
32,val,0.8937244415283203,EQO,0.9661,Y
32,test,0.8954075574874878,EQO,0.9504,Y
33,val,0.8958884477615356,EQO,0.9323,Y
33,test,0.8963693380355835,EQO,0.9202,Y
34,val,0.8932435512542725,EQO,0.9719,Y
34,test,0.894686222076416,EQO,0.9625,Y
35,val,0.8927626609802246,EQO,0.9816,Y
35,test,0.8937244415283203,EQO,0.9889,Y
36,val,0.8913200497627258,EQO,0.9989,Y
36,test,0.8930031061172485,EQO,0.9972,Y
37,val,0.8922817707061768,EQO,0.9874,Y
37,test,0.8937244415283203,EQO,0.9889,Y
38,val,0.8934839963912964,EQO,0.973,Y
38,test,0.8939648866653442,EQO,0.9709,Y
39,val,0.8934839963912964,EQO,0.973,Y
39,test,0.8939648866653442,EQO,0.9747,Y
40,val,0.8925222158432007,EQO,0.9799,Y
40,test,0.8930031061172485,EQO,0.9934,Y
41,val,0.8920413851737976,EQO,0.9856,Y
41,test,0.8932435512542725,EQO,0.9944,Y
42,val,0.8932435512542725,EQO,0.9713,Y
42,test,0.8939648866653442,EQO,0.9747,Y
43,val,0.890839159488678,EQO,1.0,Y
43,test,0.8930031061172485,EQO,0.9972,Y
44,val,0.8922817707061768,EQO,0.9828,Y
44,test,0.8932435512542725,EQO,0.9906,Y
45,val,0.8910796046257019,EQO,0.9971,Y
45,test,0.8930031061172485,EQO,0.9972,Y
46,val,0.890839159488678,EQO,1.0,Y
46,test,0.8927626609802246,EQO,1.0,Y
47,val,0.890839159488678,EQO,1.0,Y
47,test,0.8927626609802246,EQO,1.0,Y
48,val,0.890839159488678,EQO,1.0,Y
48,test,0.8927626609802246,EQO,1.0,Y
49,val,0.890839159488678,EQO,1.0,Y
49,test,0.8927626609802246,EQO,1.0,Y
50,val,0.8915604948997498,EQO,0.9914,Y
50,test,0.8927626609802246,EQO,0.9962,Y
