iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.3818225562572479,EO,0.3176,N
1,val,0.8841067552566528,EO,0.9936,Y
1,test,0.890839159488678,EO,0.9982,Y
2,val,0.8877133727073669,EO,0.9794,Y
2,test,0.8918009400367737,EO,0.9959,Y
3,val,0.8891560435295105,EO,0.9974,Y
3,test,0.8934839963912964,EO,0.9989,Y
4,val,0.8889155983924866,EO,0.9909,Y
4,test,0.8937244415283203,EO,0.9909,Y
5,val,0.8891560435295105,EO,0.9915,Y
5,test,0.8927626609802246,EO,0.9906,Y
6,val,0.890598714351654,EO,0.989,Y
6,test,0.8927626609802246,EO,0.9849,Y
7,val,0.8949266672134399,EO,0.9504,Y
7,test,0.8970906734466553,EO,0.9588,Y
8,val,0.8942053318023682,EO,0.9652,Y
8,test,0.8956480026245117,EO,0.962,Y
9,val,0.8944457769393921,EO,0.9555,Y
9,test,0.8970906734466553,EO,0.957,Y
10,val,0.8958884477615356,EO,0.9308,Y
10,test,0.8994950652122498,EO,0.9442,Y
11,val,0.8963693380355835,EO,0.9087,Y
11,test,0.9011781811714172,EO,0.9273,Y
12,val,0.8968502283096313,EO,0.9093,Y
12,test,0.9016590714454651,EO,0.9283,Y
13,val,0.8970906734466553,EO,0.9159,Y
13,test,0.9016590714454651,EO,0.9398,Y
14,val,0.8975715041160583,EO,0.912,Y
14,test,0.9026208519935608,EO,0.9322,Y
15,val,0.8968502283096313,EO,0.9106,Y
15,test,0.9026208519935608,EO,0.9325,Y
16,val,0.8973311185836792,EO,0.912,Y
16,test,0.901899516582489,EO,0.9326,Y
17,val,0.8968502283096313,EO,0.9334,Y
17,test,0.8997355103492737,EO,0.9456,Y
18,val,0.8963693380355835,EO,0.9231,Y
18,test,0.8999759554862976,EO,0.9427,Y
19,val,0.8968502283096313,EO,0.9293,Y
19,test,0.8992546200752258,EO,0.9445,Y
20,val,0.8970906734466553,EO,0.926,Y
20,test,0.8990141749382019,EO,0.945,Y
21,val,0.8963693380355835,EO,0.9293,Y
21,test,0.8982928395271301,EO,0.9426,Y
22,val,0.8951671123504639,EO,0.927,Y
22,test,0.8990141749382019,EO,0.9435,Y
23,val,0.8970906734466553,EO,0.9236,Y
23,test,0.9004568457603455,EO,0.9407,Y
24,val,0.8961288928985596,EO,0.9283,Y
24,test,0.9002164006233215,EO,0.9407,Y
25,val,0.8968502283096313,EO,0.9281,Y
25,test,0.8994950652122498,EO,0.9421,Y
26,val,0.8954075574874878,EO,0.9297,Y
26,test,0.8994950652122498,EO,0.9435,Y
27,val,0.8961288928985596,EO,0.9284,Y
27,test,0.898533284664154,EO,0.9453,Y
28,val,0.8951671123504639,EO,0.9344,Y
28,test,0.898773729801178,EO,0.946,Y
29,val,0.8954075574874878,EO,0.9601,Y
29,test,0.898773729801178,EO,0.9549,Y
30,val,0.894686222076416,EO,0.9387,Y
30,test,0.8990141749382019,EO,0.9487,Y
31,val,0.8954075574874878,EO,0.9303,Y
31,test,0.8990141749382019,EO,0.9421,Y
32,val,0.8992546200752258,EO,0.9141,Y
32,test,0.9009377360343933,EO,0.9299,Y
33,val,0.8992546200752258,EO,0.9219,Y
33,test,0.9004568457603455,EO,0.9388,Y
34,val,0.894686222076416,EO,0.9733,Y
34,test,0.8968502283096313,EO,0.9712,Y
35,val,0.8951671123504639,EO,0.9533,Y
35,test,0.8963693380355835,EO,0.9612,Y
36,val,0.8954075574874878,EO,0.9438,Y
36,test,0.8970906734466553,EO,0.9564,Y
37,val,0.8951671123504639,EO,0.9494,Y
37,test,0.8980523943901062,EO,0.9568,Y
38,val,0.8951671123504639,EO,0.9415,Y
38,test,0.898533284664154,EO,0.9535,Y
39,val,0.8958884477615356,EO,0.9447,Y
39,test,0.8992546200752258,EO,0.9536,Y
40,val,0.8975715041160583,EO,0.9385,Y
40,test,0.898773729801178,EO,0.949,Y
41,val,0.8966097831726074,EO,0.9387,Y
41,test,0.8982928395271301,EO,0.9509,Y
42,val,0.8930031061172485,EO,0.9713,Y
42,test,0.8954075574874878,EO,0.9712,Y
43,val,0.8937244415283203,EO,0.9713,Y
43,test,0.8954075574874878,EO,0.9689,Y
44,val,0.8939648866653442,EO,0.9685,Y
44,test,0.8973311185836792,EO,0.9622,Y
45,val,0.8944457769393921,EO,0.9613,Y
45,test,0.8980523943901062,EO,0.958,Y
46,val,0.8951671123504639,EO,0.9555,Y
46,test,0.8978119492530823,EO,0.9559,Y
47,val,0.8942053318023682,EO,0.9472,Y
47,test,0.8982928395271301,EO,0.9609,Y
48,val,0.8937244415283203,EO,0.9469,Y
48,test,0.8963693380355835,EO,0.9561,Y
49,val,0.8963693380355835,EO,0.9441,Y
49,test,0.8973311185836792,EO,0.957,Y
50,val,0.8980523943901062,EO,0.9312,Y
50,test,0.8982928395271301,EO,0.9486,Y
