iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,3,2747,0.8970906734466553,EQO,1.0,Y,Y
1,7,743,0.8877133727073669,EQO,0.9403,Y,Y
1,8,676,0.8437124490737915,EQO,0.7951,Y,Y
2,4,1170,0.8922817707061768,EQO,0.6307,Y,N
2,6,1130,0.898773729801178,EQO,0.9604,Y,Y
2,7,743,0.898533284664154,EQO,0.9802,Y,Y
3,2,1603,0.9052656888961792,EQO,0.7462,Y,N
3,7,743,0.8980523943901062,EQO,0.9886,Y,Y
3,8,676,0.9011781811714172,EQO,0.8042,Y,N
4,1,535,0.8583794236183167,EQO,0.5782,Y,N
4,4,1170,0.898533284664154,EQO,0.5936,Y,N
4,9,745,0.7403221726417542,EQO,0.456,Y,N
5,3,2747,0.8970906734466553,EQO,1.0,Y,Y
5,8,676,0.9002164006233215,EQO,0.7401,Y,Y
5,10,2793,0.8975715041160583,EQO,0.9943,Y,Y
6,4,1170,0.8954075574874878,EQO,0.5853,Y,N
6,8,676,0.9045443534851074,EQO,0.697,Y,N
6,10,2793,0.8978119492530823,EQO,0.9914,Y,Y
7,6,1130,0.9035825729370117,EQO,0.8759,Y,N
7,7,743,0.8997355103492737,EQO,0.9607,Y,Y
7,8,676,0.9055061340332031,EQO,0.6697,Y,N
8,3,2747,0.8970906734466553,EQO,1.0,Y,Y
8,7,743,0.9011781811714172,EQO,0.9455,Y,Y
8,9,745,0.7535465359687805,EQO,0.4436,Y,N
9,3,2747,0.8970906734466553,EQO,1.0,Y,Y
9,6,1130,0.9043039083480835,EQO,0.8595,Y,N
9,10,2793,0.8992546200752258,EQO,0.9704,Y,Y
10,1,535,0.8699206709861755,EQO,0.4969,Y,N
10,6,1130,0.9067083597183228,EQO,0.8074,Y,N
10,7,743,0.9011781811714172,EQO,0.9436,Y,N
11,4,1170,0.8949266672134399,EQO,0.557,Y,N
11,6,1130,0.9067083597183228,EQO,0.8035,Y,N
11,10,2793,0.8999759554862976,EQO,0.9579,Y,Y
12,2,1603,0.9074296951293945,EQO,0.622,Y,N
12,3,2747,0.8970906734466553,EQO,1.0,Y,Y
12,10,2793,0.8999759554862976,EQO,0.9579,Y,Y
13,2,1603,0.9071892499923706,EQO,0.6176,Y,N
13,5,338,0.8838663101196289,EQO,0.633,Y,N
13,8,676,0.9055061340332031,EQO,0.5637,Y,N
14,2,1603,0.9064679145812988,EQO,0.6077,Y,N
14,7,743,0.9040634632110596,EQO,0.8947,Y,Y
14,8,676,0.9043039083480835,EQO,0.5636,Y,N
15,4,1170,0.8910796046257019,EQO,0.542,Y,N
15,5,338,0.8838663101196289,EQO,0.6005,Y,N
15,8,676,0.9040634632110596,EQO,0.5706,Y,N
16,6,1130,0.9083914160728455,EQO,0.7876,Y,N
16,7,743,0.9026208519935608,EQO,0.9026,Y,Y
16,9,745,0.7583553791046143,EQO,0.4381,Y,N
17,2,1603,0.9076701402664185,EQO,0.6142,Y,N
17,7,743,0.9028612375259399,EQO,0.9037,Y,Y
17,10,2793,0.9006972908973694,EQO,0.9454,Y,Y
18,4,1170,0.8903582692146301,EQO,0.5363,Y,N
18,5,338,0.8805001378059387,EQO,0.6205,Y,N
18,6,1130,0.9079105257987976,EQO,0.7894,Y,N
19,4,1170,0.890839159488678,EQO,0.5385,Y,N
19,6,1130,0.9079105257987976,EQO,0.7933,Y,Y
19,10,2793,0.9002164006233215,EQO,0.9511,Y,Y
20,1,535,0.8631882667541504,EQO,0.4924,Y,N
20,7,743,0.9040634632110596,EQO,0.8898,Y,Y
20,8,676,0.9033421277999878,EQO,0.5972,Y,N
21,1,535,0.8593412041664124,EQO,0.5089,Y,N
21,7,743,0.9040634632110596,EQO,0.8876,Y,Y
21,8,676,0.9014186263084412,EQO,0.5874,Y,N
22,1,535,0.8562154173851013,EQO,0.5118,Y,N
22,9,745,0.7545083165168762,EQO,0.4709,Y,N
22,10,2793,0.9004568457603455,EQO,0.9483,Y,Y
23,3,2747,0.8975715041160583,EQO,0.9943,Y,Y
23,4,1170,0.8886751532554626,EQO,0.5426,Y,N
23,10,2793,0.8999759554862976,EQO,0.954,Y,Y
24,3,2747,0.8975715041160583,EQO,0.9943,Y,Y
24,6,1130,0.9093531966209412,EQO,0.7643,Y,N
24,10,2793,0.9014186263084412,EQO,0.9336,Y,Y
25,4,1170,0.8884347081184387,EQO,0.5302,Y,N
25,6,1130,0.909834086894989,EQO,0.7428,Y,N
25,7,743,0.9040634632110596,EQO,0.8831,Y,N
26,2,1603,0.9071892499923706,EQO,0.6089,Y,N
26,8,676,0.905746579170227,EQO,0.6133,Y,N
26,10,2793,0.9014186263084412,EQO,0.9375,Y,Y
27,1,535,0.8629478216171265,EQO,0.4969,Y,N
27,5,338,0.883385419845581,EQO,0.6014,Y,N
27,9,745,0.7578744888305664,EQO,0.4597,Y,N
28,3,2747,0.8975715041160583,EQO,0.9943,Y,Y
28,8,676,0.9026208519935608,EQO,0.5959,Y,N
28,9,745,0.755950927734375,EQO,0.4731,Y,N
29,1,535,0.8598220944404602,EQO,0.4949,Y,N
29,3,2747,0.8975715041160583,EQO,0.9943,Y,Y
29,6,1130,0.909834086894989,EQO,0.7468,Y,N
30,2,1603,0.9071892499923706,EQO,0.6043,Y,N
30,5,338,0.8814619183540344,EQO,0.5968,Y,N
30,9,745,0.7597980499267578,EQO,0.4504,Y,N
31,1,535,0.8605433702468872,EQO,0.4991,Y,N
31,3,2747,0.8975715041160583,EQO,0.9943,Y,Y
31,9,745,0.7547487616539001,EQO,0.4451,Y,N
32,2,1603,0.9074296951293945,EQO,0.6106,Y,N
32,7,743,0.9047847986221313,EQO,0.8866,Y,N
32,10,2793,0.9014186263084412,EQO,0.9336,Y,Y
33,6,1130,0.909834086894989,EQO,0.735,Y,N
33,7,743,0.9052656888961792,EQO,0.8729,Y,N
33,10,2793,0.9023804068565369,EQO,0.9182,Y,Y
34,1,535,0.861264705657959,EQO,0.4943,Y,N
34,5,338,0.8800192475318909,EQO,0.5819,Y,N
34,7,743,0.9055061340332031,EQO,0.8511,Y,N
35,1,535,0.857417643070221,EQO,0.5018,Y,N
35,4,1170,0.8891560435295105,EQO,0.5419,Y,N
35,5,338,0.876412570476532,EQO,0.587,Y,N
36,5,338,0.8740081787109375,EQO,0.5993,Y,N
36,8,676,0.9033421277999878,EQO,0.5791,Y,N
36,10,2793,0.9011781811714172,EQO,0.9364,Y,Y
37,3,2747,0.8975715041160583,EQO,0.9904,Y,Y
37,7,743,0.9055061340332031,EQO,0.8644,Y,Y
37,8,676,0.901899516582489,EQO,0.5635,Y,N
38,2,1603,0.9067083597183228,EQO,0.6138,Y,N
38,5,338,0.875691294670105,EQO,0.6041,Y,N
38,6,1130,0.9103149771690369,EQO,0.7293,Y,N
39,6,1130,0.9100745320320129,EQO,0.7203,Y,N
39,8,676,0.8990141749382019,EQO,0.5378,Y,N
39,10,2793,0.9023804068565369,EQO,0.9182,Y,Y
40,1,535,0.8566963076591492,EQO,0.5046,Y,N
40,2,1603,0.9055061340332031,EQO,0.5936,Y,N
40,10,2793,0.9023804068565369,EQO,0.9064,Y,Y
41,3,2747,0.8975715041160583,EQO,0.9904,Y,Y
41,5,338,0.8768934607505798,EQO,0.6002,Y,N
41,7,743,0.9055061340332031,EQO,0.8604,Y,N
42,6,1130,0.9100745320320129,EQO,0.7086,Y,N
42,7,743,0.9062274694442749,EQO,0.8377,Y,N
42,8,676,0.9006972908973694,EQO,0.5246,Y,N
43,7,743,0.9067083597183228,EQO,0.8334,Y,N
43,8,676,0.9016590714454651,EQO,0.5573,Y,N
43,10,2793,0.9023804068565369,EQO,0.9182,Y,Y
44,2,1603,0.9055061340332031,EQO,0.5652,Y,N
44,6,1130,0.909834086894989,EQO,0.6969,Y,N
44,10,2793,0.9016590714454651,EQO,0.9111,Y,N
45,6,1130,0.9100745320320129,EQO,0.7058,Y,N
45,7,743,0.9079105257987976,EQO,0.8191,Y,N
45,8,676,0.9006972908973694,EQO,0.5482,Y,N
46,1,535,0.8557345271110535,EQO,0.4968,Y,N
46,2,1603,0.9062274694442749,EQO,0.5965,Y,N
46,8,676,0.898773729801178,EQO,0.543,Y,N
47,1,535,0.8554940819740295,EQO,0.5037,Y,N
47,7,743,0.9074296951293945,EQO,0.8321,Y,N
47,9,745,0.7554700374603271,EQO,0.4733,Y,N
48,1,535,0.8542919158935547,EQO,0.5187,Y,N
48,3,2747,0.8978119492530823,EQO,0.9875,Y,Y
48,5,338,0.8708824515342712,EQO,0.5761,Y,N
49,3,2747,0.8975715041160583,EQO,0.9904,Y,Y
49,6,1130,0.909834086894989,EQO,0.6879,Y,N
49,9,745,0.7576340436935425,EQO,0.469,Y,N
50,2,1603,0.9031016826629639,EQO,0.5743,Y,N
50,5,338,0.8802596926689148,EQO,0.5593,Y,N
50,6,1130,0.9095936417579651,EQO,0.6632,Y,N
