iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.5777831077575684,EQO,0.5596,Y
1,val,0.8672757744789124,EQO,0.7853,Y
1,test,0.8605433702468872,EQO,0.8125,Y
2,val,0.8954075574874878,EQO,0.8542,Y
2,test,0.8862707614898682,EQO,0.8555,Y
3,val,0.9009377360343933,EQO,0.857,Y
3,test,0.8922817707061768,EQO,0.8665,Y
4,val,0.8961288928985596,EQO,0.6521,Y
4,test,0.8889155983924866,EQO,0.698,Y
5,val,0.9026208519935608,EQO,0.8878,Y
5,test,0.8920413851737976,EQO,0.891,Y
6,val,0.9026208519935608,EQO,0.899,Y
6,test,0.890839159488678,EQO,0.9189,Y
7,val,0.9028612375259399,EQO,0.8923,Y
7,test,0.8915604948997498,EQO,0.9073,Y
8,val,0.901899516582489,EQO,0.9233,Y
8,test,0.8901178240776062,EQO,0.9489,Y
9,val,0.8997355103492737,EQO,0.9647,Y
9,test,0.8881942629814148,EQO,0.9731,Y
10,val,0.901899516582489,EQO,0.9233,Y
10,test,0.8893964886665344,EQO,0.9495,Y
11,val,0.901899516582489,EQO,0.9115,Y
11,test,0.8903582692146301,EQO,0.9353,Y
12,val,0.9011781811714172,EQO,0.9318,Y
12,test,0.8889155983924866,EQO,0.9542,Y
13,val,0.9023804068565369,EQO,0.8901,Y
13,test,0.8934839963912964,EQO,0.8861,Y
14,val,0.905987024307251,EQO,0.8398,Y
14,test,0.8954075574874878,EQO,0.8476,Y
15,val,0.9083914160728455,EQO,0.7993,Y
15,test,0.8973311185836792,EQO,0.7934,Y
16,val,0.9105554223060608,EQO,0.7737,Y
16,test,0.8978119492530823,EQO,0.7735,Y
17,val,0.9086318612098694,EQO,0.8085,Y
17,test,0.8961288928985596,EQO,0.8103,Y
18,val,0.9107958674430847,EQO,0.7708,Y
18,test,0.898773729801178,EQO,0.7812,Y
19,val,0.9088723063468933,EQO,0.8056,Y
19,test,0.8970906734466553,EQO,0.7997,Y
20,val,0.9103149771690369,EQO,0.7845,Y
20,test,0.8978119492530823,EQO,0.7919,Y
21,val,0.9091127514839172,EQO,0.775,Y
21,test,0.8975715041160583,EQO,0.7784,Y
22,val,0.909834086894989,EQO,0.7888,Y
22,test,0.8970906734466553,EQO,0.8012,Y
23,val,0.9035825729370117,EQO,0.8724,Y
23,test,0.8944457769393921,EQO,0.8546,Y
24,val,0.9028612375259399,EQO,0.9085,Y
24,test,0.8915604948997498,EQO,0.9085,Y
25,val,0.9038230180740356,EQO,0.8931,Y
25,test,0.8934839963912964,EQO,0.8836,Y
26,val,0.9035825729370117,EQO,0.896,Y
26,test,0.8934839963912964,EQO,0.8836,Y
27,val,0.9103149771690369,EQO,0.7885,Y
27,test,0.8978119492530823,EQO,0.7882,Y
28,val,0.9052656888961792,EQO,0.8602,Y
28,test,0.8954075574874878,EQO,0.8403,Y
29,val,0.901899516582489,EQO,0.9154,Y
29,test,0.8913200497627258,EQO,0.9131,Y
30,val,0.9055061340332031,EQO,0.8534,Y
30,test,0.8958884477615356,EQO,0.8375,Y
31,val,0.9026208519935608,EQO,0.8957,Y
31,test,0.8918009400367737,EQO,0.8932,Y
32,val,0.9023804068565369,EQO,0.9025,Y
32,test,0.8920413851737976,EQO,0.8942,Y
33,val,0.9026208519935608,EQO,0.9075,Y
33,test,0.8930031061172485,EQO,0.8873,Y
34,val,0.9040634632110596,EQO,0.8667,Y
34,test,0.8949266672134399,EQO,0.853,Y
35,val,0.9086318612098694,EQO,0.8124,Y
35,test,0.8973311185836792,EQO,0.7972,Y
36,val,0.905746579170227,EQO,0.8509,Y
36,test,0.8956480026245117,EQO,0.8416,Y
37,val,0.9031016826629639,EQO,0.8978,Y
37,test,0.8932435512542725,EQO,0.8826,Y
38,val,0.9040634632110596,EQO,0.8745,Y
38,test,0.8949266672134399,EQO,0.853,Y
39,val,0.9033421277999878,EQO,0.8831,Y
39,test,0.894686222076416,EQO,0.863,Y
40,val,0.9033421277999878,EQO,0.8792,Y
40,test,0.8951671123504639,EQO,0.854,Y
41,val,0.9006972908973694,EQO,0.9376,Y
41,test,0.8896369338035583,EQO,0.9353,Y
42,val,0.9023804068565369,EQO,0.9182,Y
42,test,0.890839159488678,EQO,0.9111,Y
43,val,0.9026208519935608,EQO,0.9114,Y
43,test,0.8925222158432007,EQO,0.8926,Y
44,val,0.9028612375259399,EQO,0.9007,Y
44,test,0.8939648866653442,EQO,0.8731,Y
45,val,0.9035825729370117,EQO,0.8803,Y
45,test,0.8949266672134399,EQO,0.8563,Y
46,val,0.9069488048553467,EQO,0.8323,Y
46,test,0.8970906734466553,EQO,0.8182,Y
47,val,0.9103149771690369,EQO,0.7741,Y
47,test,0.8990141749382019,EQO,0.7503,Y
48,val,0.8997355103492737,EQO,0.949,Y
48,test,0.8896369338035583,EQO,0.9573,Y
49,val,0.898533284664154,EQO,0.9711,Y
49,test,0.8891560435295105,EQO,0.9735,Y
50,val,0.8997355103492737,EQO,0.949,Y
50,test,0.890598714351654,EQO,0.9504,Y
