iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,2,1037,0.868478000164032,SP,0.466,Y,Y
1,5,1194,0.849483072757721,SP,0.2966,Y,Y
1,10,801,0.8744890689849854,SP,0.563,Y,Y
2,1,1069,0.8552536964416504,SP,0.3845,Y,Y
2,8,1168,0.8326520919799805,SP,0.1702,Y,Y
2,9,489,0.8622264862060547,SP,0.344,Y,Y
3,1,1069,0.8624669313430786,SP,0.4108,Y,Y
3,8,1168,0.8408271074295044,SP,0.2087,Y,Y
3,9,489,0.8720846176147461,SP,0.3952,Y,Y
4,2,1037,0.8898773789405823,SP,0.733,Y,Y
4,6,1646,0.8968502283096313,SP,1.0,Y,Y
4,9,489,0.875450849533081,SP,0.4204,Y,Y
5,3,1600,0.8966097831726074,SP,0.9923,Y,Y
5,5,1194,0.875450849533081,SP,0.4828,Y,Y
5,9,489,0.8877133727073669,SP,0.5548,Y,Y
6,2,1037,0.8970906734466553,SP,0.8534,Y,Y
6,3,1600,0.8968502283096313,SP,0.9907,Y,Y
6,5,1194,0.8800192475318909,SP,0.5202,Y,N
7,7,1906,0.8990141749382019,SP,0.8318,Y,Y
7,9,489,0.8930031061172485,SP,0.6452,Y,N
7,10,801,0.898773729801178,SP,0.9182,Y,Y
8,1,1069,0.8792979121208191,SP,0.5827,Y,N
8,2,1037,0.8992546200752258,SP,0.8858,Y,Y
8,8,1168,0.8615051507949829,SP,0.3494,Y,N
9,2,1037,0.8992546200752258,SP,0.8488,Y,Y
9,4,1570,0.8978119492530823,SP,0.9907,Y,Y
9,8,1168,0.8619860410690308,SP,0.3506,Y,N
10,1,1069,0.8766530156135559,SP,0.589,Y,N
10,4,1570,0.8973311185836792,SP,0.9722,Y,Y
10,7,1906,0.9004568457603455,SP,0.8194,Y,Y
11,3,1600,0.8973311185836792,SP,0.9722,Y,Y
11,8,1168,0.8629478216171265,SP,0.3666,Y,N
11,10,801,0.9004568457603455,SP,0.8829,Y,Y
12,1,1069,0.8780956864356995,SP,0.6048,Y,N
12,4,1570,0.8982928395271301,SP,0.963,Y,Y
12,5,1194,0.8841067552566528,SP,0.5755,Y,N
13,2,1037,0.9014186263084412,SP,0.8503,Y,Y
13,5,1194,0.8850685358047485,SP,0.5837,Y,N
13,7,1906,0.9011781811714172,SP,0.8457,Y,Y
14,1,1069,0.8773743510246277,SP,0.6297,Y,N
14,3,1600,0.8975715041160583,SP,0.9645,Y,Y
14,8,1168,0.8624669313430786,SP,0.3897,Y,N
15,5,1194,0.8860303163528442,SP,0.5851,Y,N
15,6,1646,0.8973311185836792,SP,0.9938,Y,Y
15,9,489,0.8961288928985596,SP,0.6828,Y,N
16,3,1600,0.8992546200752258,SP,0.9506,Y,Y
16,5,1194,0.8857898712158203,SP,0.5939,Y,N
16,6,1646,0.8970906734466553,SP,0.9923,Y,Y
17,1,1069,0.8785765767097473,SP,0.6343,Y,N
17,3,1600,0.8997355103492737,SP,0.9475,Y,Y
17,4,1570,0.8992546200752258,SP,0.9317,Y,Y
18,2,1037,0.9009377360343933,SP,0.8318,Y,N
18,5,1194,0.8860303163528442,SP,0.5984,Y,N
18,6,1646,0.8968502283096313,SP,0.9877,Y,Y
19,4,1570,0.8980523943901062,SP,0.96,Y,Y
19,7,1906,0.9002164006233215,SP,0.8175,Y,N
19,9,489,0.8990141749382019,SP,0.7121,Y,N
20,4,1570,0.898533284664154,SP,0.9567,Y,Y
20,5,1194,0.8862707614898682,SP,0.6112,Y,N
20,8,1168,0.86439049243927,SP,0.4127,Y,N
21,2,1037,0.9006972908973694,SP,0.8245,Y,N
21,9,489,0.9006972908973694,SP,0.7178,Y,N
21,10,801,0.901899516582489,SP,0.9107,Y,Y
22,6,1646,0.8968502283096313,SP,0.9877,Y,Y
22,7,1906,0.9014186263084412,SP,0.8412,Y,N
22,9,489,0.9004568457603455,SP,0.7315,Y,N
23,5,1194,0.8848280906677246,SP,0.6207,Y,N
23,6,1646,0.8968502283096313,SP,0.9846,Y,Y
23,9,489,0.9009377360343933,SP,0.7243,Y,N
24,5,1194,0.8845876455307007,SP,0.6217,Y,N
24,6,1646,0.8968502283096313,SP,0.9846,Y,Y
24,8,1168,0.86439049243927,SP,0.4211,Y,N
25,2,1037,0.9011781811714172,SP,0.8276,Y,N
25,6,1646,0.8973311185836792,SP,0.9815,Y,Y
25,9,489,0.9002164006233215,SP,0.7345,Y,N
26,1,1069,0.8768934607505798,SP,0.6632,Y,N
26,6,1646,0.8966097831726074,SP,0.9769,Y,Y
26,7,1906,0.9021399617195129,SP,0.8194,Y,N
27,1,1069,0.8768934607505798,SP,0.6676,Y,N
27,6,1646,0.8966097831726074,SP,0.9756,Y,Y
27,10,801,0.901899516582489,SP,0.9078,Y,N
28,3,1600,0.9004568457603455,SP,0.9175,Y,N
28,6,1646,0.8968502283096313,SP,0.974,Y,Y
