iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.5835537314414978,SP,0.3495,Y
1,val,0.8857898712158203,SP,0.5848,Y
1,test,0.8802596926689148,SP,0.6219,Y
2,val,0.9009377360343933,SP,0.7027,Y
2,test,0.8975715041160583,SP,0.7304,Y
3,val,0.8992546200752258,SP,0.8687,Y
3,test,0.8990141749382019,SP,0.8851,Y
4,val,0.9031016826629639,SP,0.7676,Y
4,test,0.9023804068565369,SP,0.7868,Y
5,val,0.9021399617195129,SP,0.8302,Y
5,test,0.8997355103492737,SP,0.8569,Y
6,val,0.8990141749382019,SP,0.91,Y
6,test,0.8990141749382019,SP,0.9238,Y
7,val,0.8997355103492737,SP,0.8765,Y
7,test,0.9011781811714172,SP,0.8937,Y
8,val,0.9021399617195129,SP,0.8397,Y
8,test,0.9014186263084412,SP,0.8584,Y
9,val,0.8999759554862976,SP,0.9123,Y
9,test,0.8978119492530823,SP,0.9299,Y
10,val,0.898533284664154,SP,0.9202,Y
10,test,0.8963693380355835,SP,0.9319,Y
11,val,0.898773729801178,SP,0.9063,Y
11,test,0.8973311185836792,SP,0.9212,Y
12,val,0.8968502283096313,SP,0.9202,Y
12,test,0.8951671123504639,SP,0.9325,Y
13,val,0.8968502283096313,SP,0.9235,Y
13,test,0.8937244415283203,SP,0.9379,Y
14,val,0.8937244415283203,SP,0.9729,Y
14,test,0.8934839963912964,SP,0.9722,Y
15,val,0.8942053318023682,SP,0.966,Y
15,test,0.8937244415283203,SP,0.9725,Y
16,val,0.8944457769393921,SP,0.9749,Y
16,test,0.8934839963912964,SP,0.9758,Y
17,val,0.8944457769393921,SP,0.9658,Y
17,test,0.8937244415283203,SP,0.9725,Y
18,val,0.8930031061172485,SP,0.9842,Y
18,test,0.8918009400367737,SP,0.9809,Y
19,val,0.8932435512542725,SP,0.9851,Y
19,test,0.8925222158432007,SP,0.98,Y
20,val,0.8918009400367737,SP,0.9968,Y
20,test,0.890839159488678,SP,0.9934,Y
21,val,0.8910796046257019,SP,0.9986,N
21,test,0.890839159488678,SP,0.9994,Y
22,val,0.8927626609802246,SP,0.9936,Y
22,test,0.8920413851737976,SP,0.9913,Y
23,val,0.8922817707061768,SP,0.9998,Y
23,test,0.8915604948997498,SP,0.9972,Y
24,val,0.8913200497627258,SP,0.9977,N
24,test,0.8910796046257019,SP,0.9997,Y
25,val,0.8920413851737976,SP,0.9999,N
25,test,0.8918009400367737,SP,0.9975,Y
26,val,0.8961288928985596,SP,0.935,Y
26,test,0.8961288928985596,SP,0.9532,Y
27,val,0.8956480026245117,SP,0.9839,Y
27,test,0.8963693380355835,SP,0.9935,Y
28,val,0.8982928395271301,SP,0.965,Y
28,test,0.8978119492530823,SP,0.9796,Y
29,val,0.8975715041160583,SP,0.964,Y
29,test,0.8975715041160583,SP,0.9756,Y
30,val,0.9002164006233215,SP,0.9281,Y
30,test,0.8975715041160583,SP,0.9536,Y
31,val,0.8990141749382019,SP,0.9477,Y
31,test,0.8973311185836792,SP,0.9631,Y
32,val,0.8958884477615356,SP,0.9774,Y
32,test,0.8973311185836792,SP,0.9812,Y
33,val,0.8925222158432007,SP,0.9938,Y
33,test,0.8925222158432007,SP,0.9918,Y
34,val,0.8954075574874878,SP,0.9695,Y
34,test,0.8961288928985596,SP,0.9733,Y
35,val,0.8963693380355835,SP,0.9553,Y
35,test,0.8968502283096313,SP,0.9676,Y
36,val,0.8934839963912964,SP,0.9913,Y
36,test,0.8932435512542725,SP,0.9891,Y
37,val,0.8934839963912964,SP,0.9942,Y
37,test,0.8930031061172485,SP,0.9988,Y
38,val,0.8922817707061768,SP,0.992,N
38,test,0.8934839963912964,SP,0.9923,N
39,val,0.8634287118911743,SP,0.9387,Y
39,test,0.8704015612602234,SP,0.947,Y
40,val,0.883625864982605,SP,0.9957,Y
40,test,0.8901178240776062,SP,0.9915,N
41,val,0.8913200497627258,SP,0.9836,N
41,test,0.8944457769393921,SP,0.9808,N
42,val,0.8785765767097473,SP,0.9881,Y
42,test,0.8838663101196289,SP,0.9971,N
43,val,0.8942053318023682,SP,0.9948,Y
43,test,0.8956480026245117,SP,0.9959,Y
44,val,0.8934839963912964,SP,0.9913,N
44,test,0.8934839963912964,SP,0.9888,N
45,val,0.8783361315727234,SP,0.9566,Y
45,test,0.8853089809417725,SP,0.9757,Y
46,val,0.8937244415283203,SP,0.9927,Y
46,test,0.8934839963912964,SP,0.9893,Y
47,val,0.8918009400367737,SP,0.9966,N
47,test,0.890839159488678,SP,0.9971,N
48,val,0.8170233368873596,SP,0.8218,Y
48,test,0.8141379952430725,SP,0.8461,Y
49,val,0.8920413851737976,SP,0.991,Y
49,test,0.8939648866653442,SP,0.9988,Y
50,val,0.8925222158432007,SP,0.994,N
50,test,0.8925222158432007,SP,0.9934,N
