decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,tier,SensitiveAttr,Label
6.0,6.0,40.0,3.6,0.31,0.07,1.0,3.0,1.0,4.0,1,1
2.0,2.0,32.5,3.4,-0.75,-1.25,1.0,2.0,1.0,3.0,0,1
3.0,2.0,23.5,2.6,-0.51,-1.0,1.0,3.0,0.0,2.0,0,0
6.0,8.0,38.0,3.2,0.21,0.59,1.0,4.0,0.0,5.0,1,1
6.0,4.0,35.0,3.0,0.31,-0.31,1.0,4.0,1.0,3.0,1,1
1.0,1.0,37.0,2.9,-1.2,-1.32,1.0,4.0,1.0,3.0,1,1
4.0,3.0,39.0,3.4,-0.3,-0.57,1.0,3.0,1.0,4.0,1,1
2.0,1.0,33.0,2.7,-0.8,-2.24,1.0,5.0,0.0,3.0,1,0
2.0,3.0,31.5,3.0,-0.83,-0.58,1.0,4.0,1.0,3.0,1,1
3.0,5.0,27.0,3.0,-0.52,-0.06,1.0,3.0,1.0,2.0,1,1
3.0,5.0,30.5,3.4,-0.44,-0.26,1.0,4.0,1.0,2.0,1,1
9.0,9.0,42.0,3.7,1.0,0.98,1.0,4.0,0.0,3.0,1,1
3.0,3.0,36.0,3.3,-0.48,-0.87,1.0,2.0,1.0,4.0,1,1
8.0,9.0,43.0,3.5,0.67,0.95,1.0,5.0,1.0,5.0,1,1
9.0,9.0,35.0,3.4,1.04,1.23,1.0,3.0,0.0,3.0,1,1
6.0,9.0,37.0,3.0,0.26,1.11,1.0,3.0,0.0,5.0,1,1
1.0,1.0,35.0,2.8,-1.56,-2.1,1.0,3.0,0.0,4.0,0,1
5.0,7.0,36.0,2.9,-0.03,0.42,1.0,4.0,1.0,3.0,1,1
1.0,1.0,37.0,3.8,-2.66,-2.58,1.0,4.0,0.0,4.0,0,1
7.0,9.0,40.0,2.9,0.45,0.92,1.0,4.0,1.0,4.0,1,1
10.0,10.0,39.0,3.3,1.41,1.97,1.0,5.0,0.0,5.0,1,1
2.0,3.0,40.0,2.9,-0.99,-0.57,1.0,4.0,0.0,3.0,1,1
8.0,9.0,44.0,3.4,0.87,0.96,1.0,3.0,0.0,5.0,1,1
7.0,6.0,37.0,3.5,0.58,0.18,1.0,3.0,0.0,6.0,1,1
7.0,5.0,30.0,3.6,0.53,-0.17,2.0,3.0,0.0,3.0,1,1
3.0,4.0,40.0,3.0,-0.63,-0.53,1.0,4.0,1.0,3.0,1,1
4.0,4.0,38.0,3.4,-0.22,-0.52,1.0,4.0,0.0,4.0,0,1
5.0,7.0,38.0,3.8,0.07,0.51,1.0,3.0,1.0,4.0,1,1
9.0,9.0,40.0,3.8,0.99,1.14,1.0,4.0,1.0,4.0,1,1
6.0,8.0,45.0,3.8,0.2,0.57,1.0,5.0,0.0,5.0,1,1
5.0,4.0,39.0,3.4,0.04,-0.36,1.0,3.0,0.0,2.0,1,1
3.0,3.0,24.0,3.5,-0.51,-0.78,1.0,2.0,1.0,4.0,0,0
6.0,6.0,37.0,3.8,0.13,0.17,1.0,3.0,0.0,3.0,1,1
4.0,7.0,30.0,2.8,-0.33,0.51,2.0,3.0,1.0,3.0,1,1
3.0,6.0,38.0,3.3,-0.48,0.17,1.0,4.0,0.0,3.0,1,1
1.0,1.0,25.0,2.5,-1.65,-1.8,1.0,4.0,0.0,4.0,0,0
10.0,10.0,36.0,3.6,1.58,1.47,1.0,3.0,0.0,3.0,1,1
4.0,7.0,28.5,3.1,-0.39,0.41,1.0,5.0,0.0,3.0,1,1
9.0,9.0,40.0,3.4,0.94,0.94,1.0,4.0,0.0,3.0,1,1
3.0,2.0,34.0,3.0,-0.59,-1.12,1.0,4.0,1.0,3.0,1,1
2.0,5.0,43.0,3.9,-0.99,-0.22,1.0,2.0,0.0,2.0,1,1
9.0,8.0,47.0,3.6,0.95,0.79,1.0,2.0,0.0,3.0,1,1
10.0,10.0,27.0,3.3,1.81,1.84,1.0,4.0,1.0,3.0,1,1
5.0,7.0,36.0,2.4,0.1,0.28,1.0,4.0,0.0,1.0,1,1
10.0,10.0,39.0,3.0,1.7,1.74,2.0,4.0,0.0,3.0,1,1
6.0,7.0,34.0,3.2,0.25,0.3,1.0,4.0,0.0,4.0,1,1
4.0,6.0,26.7,3.1,-0.22,0.04,1.0,4.0,1.0,3.0,0,0
