iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,1,1215,0.8886751532554626,EO,1.3951,N,Y
1,3,3173,0.8629478216171265,EO,2.4718,N,Y
1,7,1281,0.8927626609802246,EO,1.0,N,Y
2,1,1215,0.8850685358047485,EO,0.6962,Y,N
2,7,1281,0.8927626609802246,EO,1.0,Y,Y
2,10,642,0.894686222076416,EO,0.9979,Y,Y
3,1,1215,0.8843472003936768,EO,0.7477,Y,N
3,4,657,0.8937244415283203,EO,0.9979,Y,Y
3,10,642,0.8927626609802246,EO,1.0,Y,Y
4,3,3173,0.8742486238479614,EO,0.5083,Y,N
4,8,3975,0.8677566647529602,EO,0.4544,Y,N
4,9,345,0.8523683547973633,EO,0.7304,Y,N
5,4,657,0.8966097831726074,EO,0.971,Y,Y
5,8,3975,0.8694397807121277,EO,0.4689,Y,N
5,10,642,0.8920413851737976,EO,0.9917,Y,Y
6,2,158,0.8288050293922424,EO,0.8571,Y,Y
6,4,657,0.898533284664154,EO,0.9523,Y,Y
6,5,309,0.691271960735321,EO,1.4883,Y,Y
7,2,158,0.81582111120224,EO,1.0229,Y,Y
7,4,657,0.8956480026245117,EO,0.9813,Y,Y
7,10,642,0.8920413851737976,EO,0.9938,Y,Y
8,5,309,0.6674681305885315,EO,1.5594,Y,Y
8,6,725,0.8598220944404602,EO,0.382,Y,N
8,8,3975,0.8701611161231995,EO,0.4751,Y,N
9,2,158,0.8105313777923584,EO,1.0366,Y,Y
9,4,657,0.8968502283096313,EO,0.973,Y,Y
9,5,309,0.6573695540428162,EO,1.594,Y,Y
10,1,1215,0.8826640844345093,EO,0.7781,Y,N
10,3,3173,0.876412570476532,EO,0.5316,Y,N
10,9,345,0.8530896902084351,EO,0.8506,Y,N
11,7,1281,0.8920413851737976,EO,1.0009,Y,Y
11,8,3975,0.8701611161231995,EO,0.4751,Y,N
11,10,642,0.8922817707061768,EO,0.9938,Y,Y
12,1,1215,0.8824236392974854,EO,0.775,Y,N
12,7,1281,0.8920413851737976,EO,1.0009,Y,Y
12,8,3975,0.8713632822036743,EO,0.4855,Y,N
13,1,1215,0.8838663101196289,EO,0.7884,Y,N
13,3,3173,0.8768934607505798,EO,0.5398,Y,N
13,7,1281,0.8925222158432007,EO,1.0009,Y,Y
14,1,1215,0.8821831941604614,EO,0.7818,Y,N
14,6,725,0.8588603138923645,EO,0.3852,Y,N
14,9,345,0.8552536964416504,EO,0.8328,Y,N
15,3,3173,0.8768934607505798,EO,0.5316,Y,N
15,6,725,0.8603029847145081,EO,0.3863,Y,N
15,9,345,0.8509256839752197,EO,0.8313,Y,N
16,5,309,0.6470305323600769,EO,1.6277,Y,Y
16,7,1281,0.8922817707061768,EO,1.0009,Y,Y
16,8,3975,0.8747295141220093,EO,0.5166,Y,N
17,4,657,0.8966097831726074,EO,0.9772,Y,N
17,5,309,0.6364510655403137,EO,1.6663,Y,Y
17,8,3975,0.8704015612602234,EO,0.4772,Y,N
18,1,1215,0.8817023038864136,EO,1.2408,N,Y
18,3,3173,0.8776147961616516,EO,1.8316,N,Y
18,7,1281,0.8930031061172485,EO,0.9991,N,Y
19,3,3173,0.8759317398071289,EO,0.5278,Y,N
19,4,657,0.8961288928985596,EO,0.9813,Y,N
19,10,642,0.8922817707061768,EO,0.9938,Y,Y
20,4,657,0.8968502283096313,EO,0.9668,Y,N
20,5,309,0.6280356049537659,EO,1.6961,Y,Y
20,8,3975,0.8713632822036743,EO,0.4855,Y,N
21,1,1215,0.883385419845581,EO,0.8221,Y,N
21,5,309,0.6116855144500732,EO,1.7646,Y,Y
21,9,345,0.8490021824836731,EO,0.9028,Y,N
22,3,3173,0.8768934607505798,EO,1.8811,N,Y
22,6,725,0.8588603138923645,EO,2.7046,N,Y
22,7,1281,0.8927626609802246,EO,0.9991,N,Y
23,2,158,0.7578744888305664,EO,1.2755,Y,Y
23,3,3173,0.8768934607505798,EO,0.5316,Y,N
23,8,3975,0.8696802258491516,EO,0.471,Y,N
24,4,657,0.8970906734466553,EO,0.9772,Y,N
24,7,1281,0.8934839963912964,EO,1.0012,Y,Y
24,8,3975,0.8713632822036743,EO,0.4855,Y,N
25,1,1215,0.8817023038864136,EO,1.2289,N,Y
25,4,657,0.8973311185836792,EO,1.0212,N,Y
25,8,3975,0.8699206709861755,EO,2.1321,N,Y
26,3,3173,0.8783361315727234,EO,0.5503,Y,N
26,4,657,0.8970906734466553,EO,0.9793,Y,Y
26,10,642,0.8922817707061768,EO,0.9938,Y,Y
27,2,158,0.7751863598823547,EO,1.2045,Y,Y
27,6,725,0.8593412041664124,EO,0.3718,Y,N
27,8,3975,0.8706420063972473,EO,0.4793,Y,N
28,1,1215,0.8824236392974854,EO,0.7974,Y,N
28,5,309,0.5946140885353088,EO,1.8421,Y,Y
28,9,345,0.850204348564148,EO,0.8802,Y,N
29,3,3173,0.8766530156135559,EO,1.8811,N,Y
29,7,1281,0.8922817707061768,EO,0.9991,N,Y
29,8,3975,0.87232506275177,EO,2.0338,N,Y
30,3,3173,0.8783361315727234,EO,0.5441,Y,N
30,6,725,0.8591007590293884,EO,0.3667,Y,N
30,8,3975,0.8730463981628418,EO,0.5021,Y,N
31,2,158,0.7573935985565186,EO,1.2606,Y,Y
31,7,1281,0.8927626609802246,EO,1.0009,Y,Y
31,8,3975,0.8718441724777222,EO,0.4917,Y,N
32,4,657,0.8968502283096313,EO,0.9751,Y,N
32,6,725,0.8591007590293884,EO,0.3607,Y,N
32,7,1281,0.8922817707061768,EO,1.0012,Y,Y
33,3,3173,0.8785765767097473,EO,1.8166,N,Y
