iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,2,3234,0.8893964886665344,EQO,1.0078,N,Y
1,3,342,0.8321712017059326,EQO,0.7514,N,Y
1,10,1243,0.8699206709861755,EQO,0.9348,N,Y
2,2,3234,0.890598714351654,EQO,1.0029,N,Y
2,4,1383,0.8312094211578369,EQO,14.953,N,Y
2,9,1830,0.8937244415283203,EQO,1.1441,N,Y
3,4,1383,0.8343351483345032,EQO,0.1999,Y,N
3,5,158,0.8886751532554626,EQO,1.0,Y,Y
3,6,259,0.8896369338035583,EQO,1.0097,Y,Y
4,2,3234,0.8915604948997498,EQO,0.9669,Y,Y
4,5,158,0.8886751532554626,EQO,1.0,Y,Y
4,8,705,0.849242627620697,EQO,0.1043,Y,N
5,8,705,0.8499639630317688,EQO,0.1111,Y,N
5,9,1830,0.8966097831726074,EQO,0.7915,Y,Y
5,10,1243,0.8783361315727234,EQO,1.0191,Y,Y
6,4,1383,0.8336138725280762,EQO,0.2067,Y,N
6,6,259,0.8903582692146301,EQO,1.0177,Y,Y
6,8,705,0.8511661291122437,EQO,0.1131,Y,N
7,4,1383,0.8345755934715271,EQO,0.2051,Y,N
7,8,705,0.8504447937011719,EQO,0.1022,Y,N
7,9,1830,0.8963693380355835,EQO,0.8232,Y,Y
8,1,3051,0.8901178240776062,EQO,1.0136,Y,Y
8,8,705,0.8506852388381958,EQO,0.101,Y,N
8,9,1830,0.898533284664154,EQO,0.7857,Y,Y
9,1,3051,0.8891560435295105,EQO,1.0058,Y,Y
9,8,705,0.8511661291122437,EQO,0.1112,Y,N
9,9,1830,0.898773729801178,EQO,0.7905,Y,Y
10,5,158,0.8886751532554626,EQO,1.0,Y,Y
10,7,275,0.8509256839752197,EQO,0.2646,Y,N
10,10,1243,0.8790574669837952,EQO,1.0249,Y,Y
11,1,3051,0.8901178240776062,EQO,1.0136,Y,Y
11,5,158,0.8886751532554626,EQO,1.0,Y,Y
11,6,259,0.8910796046257019,EQO,1.0282,Y,Y
12,1,3051,0.8898773789405823,EQO,1.0116,Y,Y
12,2,3234,0.8920413851737976,EQO,0.9618,Y,Y
12,8,705,0.8521279096603394,EQO,0.1204,Y,N
13,3,342,0.849483072757721,EQO,1.4793,Y,Y
13,8,705,0.8523683547973633,EQO,0.1214,Y,N
