iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.4558788239955902,SP,0.6658,N
1,val,0.8881942629814148,SP,0,Y
1,test,0.8860303163528442,SP,0.9984,Y
2,val,0.8884347081184387,SP,0.6847,Y
2,test,0.8853089809417725,SP,0.5994,Y
3,val,0.8881942629814148,SP,0,Y
3,test,0.8862707614898682,SP,0.9969,Y
4,val,0.8893964886665344,SP,0.9789,Y
4,test,0.8886751532554626,SP,0.9687,Y
5,val,0.8934839963912964,SP,0.7199,Y
5,test,0.8958884477615356,SP,0.6905,Y
6,val,0.8797788023948669,SP,0.5216,Y
6,test,0.8869920372962952,SP,0.5125,Y
7,val,0.8696802258491516,SP,0.418,Y
7,test,0.875691294670105,SP,0.3889,Y
8,val,0.8706420063972473,SP,0.4339,Y
8,test,0.8761721849441528,SP,0.4007,Y
9,val,0.8718441724777222,SP,0.4533,Y
9,test,0.8797788023948669,SP,0.4252,Y
10,val,0.8932435512542725,SP,0.8944,Y
10,test,0.8951671123504639,SP,0.8764,Y
11,val,0.8937244415283203,SP,0.9169,Y
11,test,0.8932435512542725,SP,0.8951,Y
12,val,0.8918009400367737,SP,0.9592,Y
12,test,0.890598714351654,SP,0.9311,Y
13,val,0.8910796046257019,SP,0.9718,Y
13,test,0.8896369338035583,SP,0.9468,Y
14,val,0.8930031061172485,SP,0.8958,Y
14,test,0.8939648866653442,SP,0.8766,Y
15,val,0.8937244415283203,SP,0.9141,Y
15,test,0.8927626609802246,SP,0.8983,Y
16,val,0.8891560435295105,SP,0.9915,Y
16,test,0.886751651763916,SP,0.9937,Y
17,val,0.8891560435295105,SP,0.9915,Y
17,test,0.886751651763916,SP,0.9937,Y
18,val,0.8881942629814148,SP,0,Y
18,test,0.8857898712158203,SP,0,Y
19,val,0.8881942629814148,SP,0,Y
19,test,0.8857898712158203,SP,0,Y
20,val,0.8891560435295105,SP,0.9915,Y
20,test,0.886751651763916,SP,0.9937,Y
21,val,0.890598714351654,SP,0.9803,Y
21,test,0.8872324824333191,SP,0.9844,Y
22,val,0.8913200497627258,SP,0.9761,Y
22,test,0.8893964886665344,SP,0.9515,Y
23,val,0.8922817707061768,SP,0.9141,Y
23,test,0.8932435512542725,SP,0.8951,Y
24,val,0.8893964886665344,SP,0.9901,Y
24,test,0.886751651763916,SP,0.9937,Y
25,val,0.8893964886665344,SP,0.9901,Y
25,test,0.886751651763916,SP,0.9937,Y
26,val,0.8884347081184387,SP,0.9958,Y
26,test,0.8860303163528442,SP,0.9984,Y
27,val,0.890598714351654,SP,0.969,Y
27,test,0.8893964886665344,SP,0.9515,Y
28,val,0.8910796046257019,SP,0.9437,Y
28,test,0.8915604948997498,SP,0.9155,Y
29,val,0.890839159488678,SP,0.9592,Y
29,test,0.8918009400367737,SP,0.9296,Y
30,val,0.8901178240776062,SP,0.9775,Y
30,test,0.8879538178443909,SP,0.964,Y
31,val,0.8891560435295105,SP,0.9887,Y
31,test,0.886751651763916,SP,0.9906,Y
32,val,0.8881942629814148,SP,0,Y
32,test,0.8857898712158203,SP,0,Y
33,val,0.8901178240776062,SP,0.9775,Y
33,test,0.8881942629814148,SP,0.975,Y
34,val,0.8922817707061768,SP,0.8557,Y
34,test,0.8927626609802246,SP,0.8604,Y
35,val,0.8884347081184387,SP,0.9958,Y
35,test,0.8862707614898682,SP,0.9969,Y
36,val,0.8891560435295105,SP,0.9887,Y
36,test,0.8872324824333191,SP,0.9875,Y
37,val,0.8821831941604614,SP,0.826,Y
37,test,0.8788170218467712,SP,0.8278,Y
38,val,0.6556864380836487,SP,0.9533,Y
38,test,0.6564077734947205,SP,0.9962,N
39,val,0.49723491072654724,SP,0.9827,N
39,test,0.5013224482536316,SP,0.9737,N
40,val,0.8951671123504639,SP,0.6796,Y
40,test,0.8958884477615356,SP,0.68,Y
41,val,0.8886751532554626,SP,0.9972,Y
41,test,0.8862707614898682,SP,0.9969,Y
42,val,0.8886751532554626,SP,0.9944,Y
42,test,0.886751651763916,SP,0.9937,Y
43,val,0.8706420063972473,SP,0.781,Y
43,test,0.8648713827133179,SP,0.7989,Y
44,val,0.45876413583755493,SP,0.9708,Y
44,test,0.4614090025424957,SP,0.9609,Y
45,val,0.8881942629814148,SP,0,Y
45,test,0.8857898712158203,SP,0,Y
46,val,0.5433998703956604,SP,0.72,N
46,test,0.5530175566673279,SP,0.7322,N
47,val,0.8660735487937927,SP,0.3569,Y
47,test,0.8706420063972473,SP,0.3403,Y
48,val,0.8978119492530823,SP,0.8197,Y
48,test,0.8975715041160583,SP,0.795,Y
49,val,0.8881942629814148,SP,0,Y
49,test,0.8857898712158203,SP,0,Y
50,val,0.1421014666557312,SP,0.0915,N
50,test,0.14498677849769592,SP,0.0454,N
