iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,4,438,0.7706179618835449,SP,2.7421,N,Y
1,8,576,0.5203173756599426,SP,9.2305,N,Y
1,10,947,0.6927145719528198,SP,6.8661,N,Y
2,1,293,0.887472927570343,SP,0.9947,Y,Y
2,4,438,0.7785525321960449,SP,0.3955,Y,Y
2,6,229,0.8881942629814148,SP,0.9938,Y,Y
3,5,1591,0.8881942629814148,SP,1.0,Y,Y
3,8,576,0.5289732813835144,SP,0.1558,Y,N
3,9,451,0.7989901304244995,SP,0.2205,Y,N
4,5,1591,0.8881942629814148,SP,1.0,Y,Y
4,6,229,0.8881942629814148,SP,1.0,Y,Y
4,10,947,0.699206531047821,SP,0.1787,Y,N
5,5,1591,0.8884347081184387,SP,0.9986,Y,Y
5,7,1776,0.8934839963912964,SP,0.9245,Y,Y
5,10,947,0.7028131484985352,SP,0.1871,Y,N
6,1,293,0.8884347081184387,SP,0.9986,Y,Y
6,4,438,0.8042798638343811,SP,0.54,Y,N
6,9,451,0.8177446722984314,SP,0.2913,Y,N
7,5,1591,0.8884347081184387,SP,0.9986,Y,Y
7,9,451,0.8182255625724792,SP,0.2926,Y,N
7,10,947,0.7044962644577026,SP,0.205,Y,N
8,2,1383,0.8961288928985596,SP,0.7996,Y,Y
8,3,4796,0.8891560435295105,SP,0.9944,Y,Y
8,4,438,0.8035585284233093,SP,0.5509,Y,N
9,3,4796,0.8884347081184387,SP,0.9986,Y,Y
9,4,438,0.8057225346565247,SP,0.556,Y,N
9,7,1776,0.8973311185836792,SP,0.8723,Y,Y
10,1,293,0.8891560435295105,SP,0.9887,Y,Y
10,3,4796,0.8889155983924866,SP,0.9958,Y,Y
10,9,451,0.82375568151474,SP,0.3171,Y,N
11,4,438,0.8021159172058105,SP,0.5613,Y,N
11,8,576,0.5837941765785217,SP,0.2818,Y,N
11,10,947,0.7117095589637756,SP,0.2368,Y,N
12,3,4796,0.8884347081184387,SP,0.9986,Y,Y
12,7,1776,0.8966097831726074,SP,0.8761,Y,Y
12,9,451,0.8215917348861694,SP,0.3007,Y,N
13,4,438,0.8009136915206909,SP,0.5704,Y,N
13,5,1591,0.8891560435295105,SP,0.9944,Y,Y
13,8,576,0.5650396943092346,SP,0.2724,Y,N
14,1,293,0.8889155983924866,SP,0.993,Y,Y
14,4,438,0.8009136915206909,SP,0.5743,Y,N
14,10,947,0.7076220512390137,SP,0.2302,Y,N
15,1,293,0.8889155983924866,SP,0.9947,Y,Y
15,3,4796,0.8886751532554626,SP,0.9972,Y,Y
15,6,229,0.8884347081184387,SP,0.9986,Y,Y
16,5,1591,0.8886751532554626,SP,0.9972,Y,Y
16,6,229,0.8884347081184387,SP,0.9986,Y,Y
16,7,1776,0.8966097831726074,SP,0.8784,Y,N
17,3,4796,0.8896369338035583,SP,0.9916,Y,Y
17,4,438,0.8030776381492615,SP,0.5871,Y,N
17,5,1591,0.8891560435295105,SP,0.9944,Y,Y
18,1,293,0.8896369338035583,SP,0.9904,Y,Y
18,2,1383,0.8968502283096313,SP,0.8202,Y,N
18,3,4796,0.8891560435295105,SP,0.9944,Y,Y
19,6,229,0.8881942629814148,SP,1.0,Y,Y
19,8,576,0.5657610297203064,SP,0.2775,Y,N
19,9,451,0.8247174620628357,SP,0.327,Y,N
20,3,4796,0.8884347081184387,SP,0.9986,Y,Y
20,7,1776,0.8961288928985596,SP,0.888,Y,N
20,8,576,0.5578263998031616,SP,0.2721,Y,N
21,3,4796,0.8886751532554626,SP,0.9972,Y,Y
21,6,229,0.8881942629814148,SP,1.0,Y,Y
21,9,451,0.8249579071998596,SP,0.3157,Y,N
22,4,438,0.8021159172058105,SP,0.5841,Y,N
22,8,576,0.5633565783500671,SP,0.2765,Y,N
22,9,451,0.8223130702972412,SP,0.3215,Y,N
23,1,293,0.8891560435295105,SP,0.9916,Y,Y
23,7,1776,0.8978119492530823,SP,0.8747,Y,N
23,8,576,0.5583072900772095,SP,0.274,Y,N
24,4,438,0.8023563623428345,SP,0.5901,Y,N
24,6,229,0.8881942629814148,SP,1.0,Y,Y
24,7,1776,0.8975715041160583,SP,0.8601,Y,N
25,1,293,0.8886751532554626,SP,0.9961,Y,Y
25,5,1591,0.8889155983924866,SP,0.9958,Y,Y
25,7,1776,0.8970906734466553,SP,0.8767,Y,N
26,1,293,0.8886751532554626,SP,0.9961,Y,Y
26,4,438,0.8004328012466431,SP,0.5914,Y,N
26,7,1776,0.8956480026245117,SP,0.8903,Y,N
27,1,293,0.8886751532554626,SP,0.9961,Y,Y
27,4,438,0.8001923561096191,SP,0.6001,Y,N
27,9,451,0.8218321800231934,SP,0.3141,Y,N
28,3,4796,0.8893964886665344,SP,0.993,Y,Y
28,4,438,0.7999519109725952,SP,0.5988,Y,N
28,7,1776,0.8966097831726074,SP,0.8847,Y,N
29,2,1383,0.8980523943901062,SP,0.7887,Y,N
29,7,1776,0.8978119492530823,SP,0.8632,Y,N
29,9,451,0.8223130702972412,SP,0.3219,Y,N
30,1,293,0.8889155983924866,SP,0.9947,Y,Y
30,2,1383,0.8973311185836792,SP,0.8259,Y,N
30,10,947,0.7069007158279419,SP,0.2286,Y,N
31,7,1776,0.8963693380355835,SP,0.8861,Y,N
31,8,576,0.556624174118042,SP,0.2766,Y,N
31,10,947,0.6984851956367493,SP,0.226,Y,N
32,2,1383,0.8973311185836792,SP,0.8118,Y,N
32,3,4796,0.8893964886665344,SP,0.993,Y,Y
32,9,451,0.8215917348861694,SP,0.3156,Y,N
33,2,1383,0.8956480026245117,SP,0.7662,Y,N
33,4,438,0.8030776381492615,SP,0.5999,Y,N
33,10,947,0.7008896470069885,SP,0.2251,Y,N
34,2,1383,0.8963693380355835,SP,0.7728,Y,N
34,7,1776,0.8982928395271301,SP,0.8622,Y,N
34,10,947,0.7016109824180603,SP,0.2226,Y,N
35,1,293,0.8891560435295105,SP,0.9916,Y,Y
35,4,438,0.8011541366577148,SP,0.5849,Y,N
35,10,947,0.7042558193206787,SP,0.2173,Y,N
36,4,438,0.7987496852874756,SP,0.589,Y,N
36,5,1591,0.8889155983924866,SP,0.9958,Y,Y
36,8,576,0.5433998703956604,SP,0.2621,Y,N
37,1,293,0.8896369338035583,SP,0.9904,Y,Y
37,3,4796,0.8891560435295105,SP,0.9944,Y,Y
37,4,438,0.8004328012466431,SP,0.6058,Y,N
38,2,1383,0.898533284664154,SP,0.7979,Y,N
38,5,1591,0.8893964886665344,SP,0.993,Y,Y
38,10,947,0.7004087567329407,SP,0.223,Y,N
39,3,4796,0.8891560435295105,SP,0.9944,Y,Y
39,7,1776,0.8980523943901062,SP,0.8721,Y,N
39,10,947,0.6960808038711548,SP,0.2271,Y,N
40,2,1383,0.8970906734466553,SP,0.7918,Y,N
40,5,1591,0.8901178240776062,SP,0.9904,Y,Y
40,10,947,0.702572762966156,SP,0.2284,Y,N
41,1,293,0.8898773789405823,SP,0.9823,Y,Y
41,7,1776,0.8961288928985596,SP,0.8762,Y,N
41,9,451,0.8129358291625977,SP,0.335,Y,N
42,4,438,0.8035585284233093,SP,0.6172,Y,N
42,8,576,0.5580668449401855,SP,0.2837,Y,N
42,10,947,0.7008896470069885,SP,0.227,Y,N
43,3,4796,0.8896369338035583,SP,0.9887,Y,Y
43,7,1776,0.8982928395271301,SP,0.857,Y,N
43,10,947,0.7011300921440125,SP,0.2166,Y,N
44,1,293,0.8898773789405823,SP,0.9778,Y,Y
44,8,576,0.5544602274894714,SP,0.2774,Y,N
44,10,947,0.699206531047821,SP,0.2218,Y,N
45,2,1383,0.8978119492530823,SP,0.796,Y,N
45,3,4796,0.8891560435295105,SP,0.9944,Y,Y
45,8,576,0.545323371887207,SP,0.2665,Y,N
46,3,4796,0.8896369338035583,SP,0.9887,Y,Y
46,8,576,0.5513344407081604,SP,0.274,Y,N
46,10,947,0.6989660859107971,SP,0.2158,Y,N
47,1,293,0.8903582692146301,SP,0.9733,Y,N
47,2,1383,0.8963693380355835,SP,0.7843,Y,N
47,3,4796,0.8893964886665344,SP,0.993,Y,Y
48,2,1383,0.8951671123504639,SP,0.7495,Y,N
48,3,4796,0.8903582692146301,SP,0.9817,Y,N
48,4,438,0.8025968074798584,SP,0.6017,Y,N
49,5,1591,0.890598714351654,SP,0.9859,Y,Y
49,7,1776,0.8963693380355835,SP,0.8584,Y,N
49,10,947,0.7037749290466309,SP,0.2302,Y,N
50,1,293,0.8903582692146301,SP,0.9755,Y,N
50,5,1591,0.890598714351654,SP,0.9848,Y,Y
