decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,tier,SensitiveAttr,Label
6.0,5.0,37.0,2.9,0.26,-0.06,1.0,4.0,0.0,3.0,1,1
4.0,4.0,28.0,3.2,-0.41,-0.28,1.0,2.0,1.0,4.0,0,1
3.0,6.0,36.0,3.3,-0.43,0.11,1.0,3.0,1.0,4.0,1,0
4.0,3.0,31.0,3.3,-0.26,-0.64,1.0,1.0,1.0,3.0,0,1
2.0,2.0,30.5,3.3,-0.83,-1.09,1.0,3.0,0.0,2.0,1,0
1.0,1.0,24.0,2.6,-1.46,-1.51,2.0,3.0,0.0,3.0,0,0
6.0,9.0,40.0,3.4,0.25,1.05,1.0,4.0,1.0,5.0,1,1
10.0,9.0,31.0,3.6,1.59,1.31,1.0,4.0,0.0,3.0,1,1
3.0,3.0,32.0,3.2,-0.65,-0.87,1.0,4.0,1.0,3.0,1,0
2.0,2.0,40.0,3.1,-0.85,-1.3,1.0,4.0,1.0,5.0,1,0
9.0,10.0,42.0,3.1,1.18,1.74,1.0,4.0,1.0,3.0,1,1
1.0,1.0,29.5,3.1,-1.23,-1.45,1.0,4.0,1.0,2.0,1,1
2.0,3.0,45.0,3.3,-1.12,-0.74,1.0,4.0,0.0,5.0,1,1
3.0,3.0,28.0,3.1,-0.5,-0.78,1.0,2.0,0.0,4.0,0,1
2.0,2.0,31.0,3.2,-0.82,-1.07,1.0,4.0,0.0,3.0,0,1
10.0,10.0,40.0,3.6,1.56,1.57,1.0,4.0,1.0,4.0,1,1
8.0,10.0,44.0,3.9,0.74,1.54,1.0,3.0,0.0,3.0,1,1
8.0,8.0,40.0,3.6,0.73,0.83,1.0,3.0,1.0,3.0,1,1
2.0,2.0,43.0,3.6,-0.87,-1.04,1.0,4.0,0.0,4.0,0,1
3.0,4.0,33.0,3.3,-0.59,-0.43,1.0,3.0,0.0,3.0,1,1
3.0,2.0,16.0,2.9,-0.5,-1.22,2.0,4.0,1.0,3.0,0,0
3.0,5.0,33.0,3.5,-0.54,-0.2,1.0,4.0,0.0,5.0,1,0
3.0,3.0,29.5,3.8,-0.72,-0.79,1.0,4.0,1.0,5.0,0,1
4.0,3.0,34.0,2.9,-0.24,-0.7,1.0,4.0,1.0,5.0,1,1
7.0,7.0,42.0,3.2,0.33,0.31,1.0,4.0,0.0,5.0,1,1
8.0,8.0,42.0,3.5,0.83,0.72,1.0,3.0,0.0,4.0,1,1
3.0,4.0,39.0,3.2,-0.71,-0.35,1.0,3.0,0.0,4.0,1,1
5.0,8.0,41.0,2.7,-0.03,0.67,1.0,4.0,0.0,4.0,0,1
7.0,8.0,36.0,3.3,0.51,0.63,1.0,5.0,1.0,4.0,0,1
9.0,10.0,37.0,3.1,1.27,1.58,1.0,3.0,1.0,3.0,0,1
10.0,10.0,41.0,3.8,1.33,1.64,1.0,4.0,0.0,4.0,1,1
3.0,5.0,39.0,3.6,-0.49,-0.17,1.0,5.0,1.0,3.0,1,1
6.0,9.0,36.0,3.3,0.28,0.9,1.0,2.0,1.0,3.0,1,1
1.0,1.0,42.0,3.6,-2.42,-2.02,1.0,3.0,1.0,5.0,1,1
7.0,9.0,46.0,3.2,0.42,0.93,1.0,4.0,1.0,4.0,0,1
3.0,3.0,36.3,3.5,-0.56,-0.79,1.0,2.0,1.0,4.0,1,0
