iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.556624174118042,SP,0.682,N
1,val,0.8410675525665283,SP,0.7063,Y
1,test,0.8405866622924805,SP,0.7274,Y
2,val,0.8889155983924866,SP,0.7738,Y
2,test,0.8901178240776062,SP,0.7833,Y
3,val,0.8944457769393921,SP,0.8049,Y
3,test,0.8942053318023682,SP,0.8065,Y
4,val,0.894686222076416,SP,0.8827,Y
4,test,0.8922817707061768,SP,0.8849,Y
5,val,0.8970906734466553,SP,0.8484,Y
5,test,0.8934839963912964,SP,0.8476,Y
6,val,0.8961288928985596,SP,0.8576,Y
6,test,0.8937244415283203,SP,0.8562,Y
7,val,0.8968502283096313,SP,0.8404,Y
7,test,0.8958884477615356,SP,0.8392,Y
8,val,0.8982928395271301,SP,0.8431,Y
8,test,0.8966097831726074,SP,0.8426,Y
9,val,0.8973311185836792,SP,0.8652,Y
9,test,0.8944457769393921,SP,0.87,Y
10,val,0.8956480026245117,SP,0.8876,Y
10,test,0.8927626609802246,SP,0.8849,Y
11,val,0.8975715041160583,SP,0.8619,Y
11,test,0.8944457769393921,SP,0.8606,Y
12,val,0.8978119492530823,SP,0.8341,Y
12,test,0.8973311185836792,SP,0.8327,Y
13,val,0.8978119492530823,SP,0.841,Y
13,test,0.8956480026245117,SP,0.8377,Y
14,val,0.8978119492530823,SP,0.8478,Y
14,test,0.8966097831726074,SP,0.8431,Y
15,val,0.8970906734466553,SP,0.8585,Y
15,test,0.8954075574874878,SP,0.8557,Y
16,val,0.8963693380355835,SP,0.866,Y
16,test,0.894686222076416,SP,0.8574,Y
17,val,0.8954075574874878,SP,0.884,Y
17,test,0.8927626609802246,SP,0.8764,Y
18,val,0.8966097831726074,SP,0.8896,Y
18,test,0.8939648866653442,SP,0.8813,Y
19,val,0.8963693380355835,SP,0.8773,Y
19,test,0.8942053318023682,SP,0.8653,Y
20,val,0.8963693380355835,SP,0.8579,Y
20,test,0.8954075574874878,SP,0.8584,Y
21,val,0.8963693380355835,SP,0.8581,Y
21,test,0.8954075574874878,SP,0.8562,Y
22,val,0.8954075574874878,SP,0.8616,Y
22,test,0.8954075574874878,SP,0.8587,Y
23,val,0.8961288928985596,SP,0.8795,Y
23,test,0.8951671123504639,SP,0.876,Y
24,val,0.8937244415283203,SP,0.8874,Y
24,test,0.8937244415283203,SP,0.8734,Y
25,val,0.8918009400367737,SP,0.901,Y
25,test,0.8937244415283203,SP,0.8959,Y
26,val,0.8956480026245117,SP,0.8783,Y
26,test,0.8951671123504639,SP,0.8611,Y
27,val,0.8970906734466553,SP,0.8711,Y
27,test,0.8939648866653442,SP,0.8606,Y
28,val,0.8958884477615356,SP,0.8829,Y
28,test,0.8939648866653442,SP,0.8747,Y
29,val,0.8963693380355835,SP,0.8821,Y
29,test,0.8942053318023682,SP,0.8759,Y
30,val,0.8956480026245117,SP,0.8766,Y
30,test,0.8925222158432007,SP,0.8687,Y
31,val,0.894686222076416,SP,0.8932,Y
31,test,0.8920413851737976,SP,0.8775,Y
32,val,0.8954075574874878,SP,0.8811,Y
32,test,0.8944457769393921,SP,0.8764,Y
33,val,0.8970906734466553,SP,0.8809,Y
33,test,0.8934839963912964,SP,0.8724,Y
34,val,0.8958884477615356,SP,0.8835,Y
34,test,0.8934839963912964,SP,0.8732,Y
35,val,0.8951671123504639,SP,0.8871,Y
35,test,0.8918009400367737,SP,0.8785,Y
36,val,0.8939648866653442,SP,0.8978,Y
36,test,0.8918009400367737,SP,0.8908,Y
37,val,0.8934839963912964,SP,0.8943,Y
37,test,0.8910796046257019,SP,0.8837,Y
38,val,0.8956480026245117,SP,0.8845,Y
38,test,0.8930031061172485,SP,0.8786,Y
39,val,0.8939648866653442,SP,0.8894,Y
39,test,0.890598714351654,SP,0.8837,Y
40,val,0.8937244415283203,SP,0.9099,Y
40,test,0.8903582692146301,SP,0.8969,Y
41,val,0.8963693380355835,SP,0.8863,Y
41,test,0.8932435512542725,SP,0.8692,Y
42,val,0.8961288928985596,SP,0.8991,Y
42,test,0.8927626609802246,SP,0.8865,Y
43,val,0.8963693380355835,SP,0.8848,Y
43,test,0.8922817707061768,SP,0.8783,Y
44,val,0.8961288928985596,SP,0.8997,Y
44,test,0.8951671123504639,SP,0.8844,Y
45,val,0.8966097831726074,SP,0.8855,Y
45,test,0.8930031061172485,SP,0.8783,Y
46,val,0.894686222076416,SP,0.9012,Y
46,test,0.8925222158432007,SP,0.8852,Y
47,val,0.8934839963912964,SP,0.9222,Y
47,test,0.8939648866653442,SP,0.9213,Y
48,val,0.8922817707061768,SP,0.9332,Y
48,test,0.8884347081184387,SP,0.9257,Y
49,val,0.8920413851737976,SP,0.9229,Y
49,test,0.8922817707061768,SP,0.9107,Y
50,val,0.890839159488678,SP,0.9401,Y
50,test,0.8881942629814148,SP,0.9396,Y
