decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,tier,SensitiveAttr,Label
9.0,9.0,44.0,3.7,1.02,1.03,1.0,4.0,0.0,4.0,1,1
7.0,7.0,34.0,3.0,0.4,0.4,1.0,4.0,0.0,3.0,1,1
10.0,10.0,38.0,2.9,1.9,2.67,1.0,4.0,1.0,4.0,1,1
8.0,6.0,35.0,3.4,0.74,0.24,1.0,3.0,1.0,5.0,1,1
8.0,8.0,36.0,3.6,0.76,0.68,1.0,4.0,0.0,3.0,1,1
5.0,4.0,36.0,3.7,-0.02,-0.29,1.0,4.0,1.0,4.0,1,1
4.0,4.0,26.0,3.7,-0.22,-0.29,1.0,4.0,0.0,3.0,1,1
10.0,9.0,36.0,2.6,1.34,1.04,1.0,3.0,1.0,2.0,1,1
1.0,1.0,41.0,3.1,-1.15,-1.53,1.0,4.0,1.0,4.0,1,1
6.0,6.0,29.5,3.1,0.31,0.03,1.0,4.0,0.0,3.0,1,1
9.0,9.0,32.0,2.4,1.1,0.95,1.0,4.0,0.0,2.0,1,1
5.0,7.0,36.0,2.9,-0.03,0.42,1.0,4.0,1.0,3.0,1,1
4.0,4.0,35.0,3.0,-0.36,-0.47,1.0,4.0,0.0,3.0,1,1
8.0,8.0,40.0,3.3,0.71,0.63,1.0,3.0,0.0,5.0,1,1
3.0,7.0,38.0,2.4,-0.63,0.42,2.0,4.0,1.0,3.0,1,1
4.0,4.0,34.0,3.8,-0.39,-0.45,1.0,4.0,0.0,5.0,1,1
2.0,3.0,37.0,3.0,-0.81,-0.81,1.0,5.0,0.0,3.0,1,1
3.0,3.0,44.0,3.1,-0.46,-0.66,1.0,2.0,1.0,4.0,1,1
3.0,5.0,38.0,3.3,-0.48,-0.08,1.0,3.0,1.0,3.0,1,1
7.0,1.0,39.0,3.4,0.31,-1.44,2.0,4.0,1.0,5.0,1,1
7.0,7.0,43.0,2.7,0.37,0.48,1.0,4.0,1.0,3.0,1,1
1.0,1.0,35.5,3.0,-1.73,-1.91,1.0,3.0,0.0,3.0,0,1
10.0,9.0,47.0,3.5,1.63,1.15,1.0,5.0,1.0,5.0,1,1
3.0,4.0,42.0,2.5,-0.59,-0.44,1.0,2.0,1.0,5.0,0,1
5.0,8.0,43.0,3.0,0.06,0.78,1.0,5.0,1.0,4.0,1,1
6.0,5.0,44.0,3.5,0.27,0.0,1.0,4.0,0.0,5.0,1,1
8.0,7.0,31.5,4.0,0.68,0.46,1.0,5.0,0.0,4.0,1,1
10.0,10.0,34.0,4.0,2.73,2.59,1.0,5.0,0.0,4.0,1,1
5.0,4.0,27.0,3.8,-0.05,-0.4,1.0,3.0,0.0,2.0,1,1
10.0,9.0,40.0,3.6,1.4,0.91,1.0,3.0,0.0,3.0,1,1
7.0,7.0,41.0,3.1,0.33,0.38,1.0,5.0,0.0,5.0,1,1
7.0,6.0,32.0,3.0,0.29,0.01,1.0,5.0,1.0,2.0,1,1
10.0,9.0,37.0,2.8,1.41,1.28,1.0,3.0,1.0,3.0,1,1
10.0,10.0,37.0,3.3,1.72,1.46,1.0,3.0,0.0,1.0,1,1
10.0,10.0,31.0,3.9,1.37,1.53,1.0,4.0,0.0,3.0,1,1
6.0,5.0,35.0,2.9,0.11,-0.16,1.0,5.0,1.0,3.0,1,1
8.0,4.0,39.0,2.9,0.8,-0.31,1.0,5.0,0.0,3.0,1,1
4.0,3.0,37.0,3.2,-0.38,-0.64,1.0,4.0,1.0,4.0,1,1
8.0,9.0,40.0,3.2,0.59,1.29,1.0,4.0,1.0,3.0,1,1
3.0,4.0,37.5,3.0,-0.54,-0.51,2.0,4.0,1.0,5.0,1,1
5.0,6.0,40.0,3.5,-0.06,0.03,1.0,5.0,1.0,4.0,1,1
5.0,3.0,43.0,3.4,-0.11,-0.6,1.0,5.0,1.0,5.0,1,1
1.0,1.0,22.5,3.0,-1.95,-2.65,1.0,2.0,0.0,5.0,0,0
4.0,4.0,43.0,3.2,-0.22,-0.51,1.0,4.0,0.0,5.0,1,1
6.0,6.0,39.0,3.2,0.26,0.14,1.0,4.0,1.0,5.0,1,1
6.0,5.0,45.0,3.4,0.1,-0.05,1.0,4.0,1.0,6.0,0,1
7.0,6.0,34.0,3.4,0.51,0.27,1.0,2.0,0.0,4.0,1,1
5.0,5.0,41.0,3.7,-0.02,-0.15,1.0,4.0,0.0,5.0,1,1
4.0,4.0,38.0,3.4,-0.22,-0.52,1.0,4.0,0.0,4.0,0,1
8.0,10.0,29.0,3.8,0.82,1.47,1.0,5.0,1.0,3.0,1,1
10.0,10.0,32.0,3.1,1.38,1.79,1.0,4.0,0.0,3.0,1,1
4.0,5.0,31.5,3.4,-0.22,-0.15,1.0,4.0,0.0,3.0,0,1
7.0,7.0,33.5,3.5,0.5,0.47,1.0,4.0,0.0,3.0,1,1
2.0,1.0,34.0,3.4,-0.86,-1.33,1.0,4.0,0.0,3.0,1,1
2.0,4.0,42.0,3.8,-0.89,-0.35,1.0,4.0,0.0,5.0,0,1
8.0,7.0,27.5,3.4,0.79,0.32,1.0,5.0,1.0,2.0,1,1
3.0,5.0,37.5,3.5,-0.63,-0.23,1.0,3.0,0.0,4.0,1,1
2.0,2.0,42.0,3.4,-1.1,-1.0,1.0,4.0,0.0,6.0,1,1
2.0,2.0,39.0,2.9,-0.92,-0.93,1.0,4.0,0.0,3.0,1,1
6.0,3.0,29.5,3.3,0.16,-0.76,1.0,3.0,0.0,2.0,1,1
6.0,7.0,44.0,4.0,0.22,0.42,1.0,3.0,0.0,6.0,0,1
8.0,9.0,42.0,3.3,0.77,0.88,1.0,4.0,0.0,4.0,1,1
8.0,6.0,34.0,3.8,0.63,0.23,1.0,3.0,0.0,4.0,1,1
9.0,10.0,31.0,3.6,1.19,1.35,1.0,3.0,1.0,4.0,1,1
10.0,9.0,40.0,2.8,1.45,1.0,1.0,4.0,1.0,4.0,1,1
8.0,8.0,38.0,3.5,0.71,0.65,1.0,3.0,1.0,3.0,1,1
