iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,1,1051,0.8918009400367737,EO,1.0,N,Y
1,3,1501,0.8872324824333191,EO,1.2843,N,Y
1,6,2662,0.8968502283096313,EO,1.0181,N,Y
2,1,1051,0.8918009400367737,EO,1.0,Y,Y
2,4,675,0.8578985333442688,EO,0.8921,Y,N
2,7,567,0.8807405829429626,EO,0.6067,Y,N
3,4,1646,0.9038230180740356,EO,0.9348,Y,Y
3,9,675,0.8588603138923645,EO,0.9168,Y,Y
3,10,567,0.8805001378059387,EO,0.6008,Y,Y
4,3,1501,0.8910796046257019,EO,0.749,Y,Y
4,6,907,0.8797788023948669,EO,0.7812,Y,Y
4,9,675,0.8566963076591492,EO,0.9392,Y,Y
5,1,1051,0.8918009400367737,EO,1.0,Y,Y
5,3,1501,0.890839159488678,EO,0.7332,Y,N
5,10,567,0.879538357257843,EO,0.6023,Y,N
6,1,1051,0.8918009400367737,EO,1.0,Y,Y
6,3,1646,0.9031016826629639,EO,0.9133,Y,N
6,7,283,0.6239480376243591,EO,1.4956,Y,Y
7,4,907,0.8740081787109375,EO,0.7944,Y,Y
7,9,567,0.8805001378059387,EO,0.5964,Y,Y
7,11,1394,0.8918009400367737,EO,1.0,Y,Y
8,1,1051,0.8918009400367737,EO,1.0,Y,Y
8,2,1475,0.9021399617195129,EO,0.9328,Y,N
8,10,252,0.7605193853378296,EO,0.7551,Y,N
9,2,2662,0.9040634632110596,EO,0.9275,Y,Y
9,4,1713,0.8973311185836792,EO,0.9846,Y,Y
9,5,283,0.5950949788093567,EO,1.778,Y,Y
9,8,567,0.8809810280799866,EO,0.6064,Y,Y
10,2,2662,0.9043039083480835,EO,0.9371,Y,N
10,3,907,0.875450849533081,EO,0.8262,Y,N
10,10,1475,0.9014186263084412,EO,0.9091,Y,N
10,11,124,0.8223130702972412,EO,0.7271,Y,N
11,5,1501,0.8893964886665344,EO,0.7233,Y,N
11,6,567,0.8814619183540344,EO,0.6181,Y,N
11,8,128,0.81582111120224,EO,0.7878,Y,N
11,9,328,0.7090646624565125,EO,0.6924,Y,N
12,2,1713,0.8997355103492737,EO,0.9807,Y,Y
12,10,1501,0.8901178240776062,EO,0.7292,Y,N
12,11,567,0.8817023038864136,EO,0.609,Y,N
12,12,128,0.8122144937515259,EO,0.7408,Y,N
13,6,2334,0.8918009400367737,EO,1.0,Y,Y
13,7,907,0.8711228370666504,EO,0.7942,Y,N
13,9,124,0.8136571049690247,EO,0.6574,Y,N
