iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.42943015694618225,EO,0.4712,N
1,val,0.8660735487937927,EO,0.9686,N
1,test,0.872565507888794,EO,0.9743,N
2,val,0.8915604948997498,EO,0.998,Y
2,test,0.8922817707061768,EO,0.9977,Y
3,val,0.8918009400367737,EO,0.996,Y
3,test,0.8932435512542725,EO,0.9977,Y
4,val,0.8918009400367737,EO,0.996,Y
4,test,0.8932435512542725,EO,0.998,Y
5,val,0.8930031061172485,EO,0.9624,Y
5,test,0.8956480026245117,EO,0.98,Y
6,val,0.8932435512542725,EO,0.9743,Y
6,test,0.8951671123504639,EO,0.989,Y
7,val,0.8925222158432007,EO,0.9746,Y
7,test,0.8956480026245117,EO,0.9913,Y
8,val,0.8930031061172485,EO,0.9723,Y
8,test,0.8958884477615356,EO,0.989,Y
9,val,0.8970906734466553,EO,0.9582,Y
9,test,0.8968502283096313,EO,0.9853,Y
10,val,0.8934839963912964,EO,0.9794,Y
10,test,0.8961288928985596,EO,0.9941,Y
11,val,0.8932435512542725,EO,0.9689,Y
11,test,0.8963693380355835,EO,0.9913,Y
12,val,0.8927626609802246,EO,0.9703,Y
12,test,0.8961288928985596,EO,0.9932,Y
13,val,0.8920413851737976,EO,0.9868,Y
13,test,0.8932435512542725,EO,0.998,Y
14,val,0.8930031061172485,EO,0.9884,Y
14,test,0.8934839963912964,EO,0.9977,Y
15,val,0.8930031061172485,EO,0.9811,Y
15,test,0.8949266672134399,EO,0.9935,Y
16,val,0.8942053318023682,EO,0.9874,Y
16,test,0.8932435512542725,EO,0.9973,Y
17,val,0.8961288928985596,EO,0.9988,Y
17,test,0.8930031061172485,EO,0.9983,N
18,val,0.8956480026245117,EO,0.9943,Y
18,test,0.8932435512542725,EO,0.9992,N
19,val,0.8927626609802246,EO,0.9967,Y
19,test,0.8932435512542725,EO,0.998,Y
20,val,0.8937244415283203,EO,0.992,N
20,test,0.8930031061172485,EO,0.9899,N
21,val,0.894686222076416,EO,0.9916,Y
21,test,0.8937244415283203,EO,0.9975,N
22,val,0.8949266672134399,EO,0.9913,Y
22,test,0.8939648866653442,EO,0.9976,Y
23,val,0.8937244415283203,EO,0.999,Y
23,test,0.8937244415283203,EO,0.9994,N
24,val,0.8925222158432007,EO,0.9991,N
24,test,0.8932435512542725,EO,0.9997,N
25,val,0.8896369338035583,EO,0.9848,N
25,test,0.8934839963912964,EO,0.9773,N
26,val,0.894686222076416,EO,0.9725,Y
26,test,0.898773729801178,EO,0.9989,N
27,val,0.8944457769393921,EO,0.9926,N
27,test,0.8939648866653442,EO,0.9896,N
28,val,0.8961288928985596,EO,0.9842,Y
28,test,0.8982928395271301,EO,0.9947,N
29,val,0.8814619183540344,EO,0.975,N
29,test,0.8879538178443909,EO,0.9621,N
30,val,0.8824236392974854,EO,0.9784,N
30,test,0.8862707614898682,EO,0.9612,N
31,val,0.8896369338035583,EO,0.9846,Y
31,test,0.8934839963912964,EO,0.9864,N
32,val,0.8956480026245117,EO,0.9968,Y
32,test,0.8949266672134399,EO,0.9908,N
33,val,0.8951671123504639,EO,0.9989,N
33,test,0.8942053318023682,EO,0.9896,N
34,val,0.8978119492530823,EO,0.9205,Y
34,test,0.8966097831726074,EO,0.9348,Y
35,val,0.898773729801178,EO,0.9415,Y
35,test,0.9006972908973694,EO,0.9664,Y
36,val,0.8920413851737976,EO,0.998,Y
36,test,0.8927626609802246,EO,0,Y
37,val,0.8927626609802246,EO,0.996,Y
37,test,0.8934839963912964,EO,0,Y
38,val,0.8915604948997498,EO,0.998,Y
38,test,0.8920413851737976,EO,0,Y
39,val,0.8915604948997498,EO,0,Y
39,test,0.8920413851737976,EO,0,Y
40,val,0.8934839963912964,EO,0.9991,N
40,test,0.8932435512542725,EO,0.9988,N
41,val,0.8944457769393921,EO,0.997,N
41,test,0.8934839963912964,EO,0.9942,N
42,val,0.8809810280799866,EO,0.9815,N
42,test,0.8817023038864136,EO,0.9695,N
43,val,0.8886751532554626,EO,0.9748,N
43,test,0.8903582692146301,EO,0.9737,N
44,val,0.883625864982605,EO,0.7936,Y
44,test,0.8915604948997498,EO,0.7968,Y
45,val,0.9002164006233215,EO,0.9452,Y
45,test,0.9002164006233215,EO,0.9629,Y
46,val,0.898773729801178,EO,0.9718,Y
46,test,0.8970906734466553,EO,0.9809,Y
47,val,0.8896369338035583,EO,0.9602,Y
47,test,0.890598714351654,EO,0.9803,Y
48,val,0.9002164006233215,EO,0.9775,Y
48,test,0.8978119492530823,EO,0.98,Y
49,val,0.8956480026245117,EO,0.8997,Y
49,test,0.8956480026245117,EO,0.9137,Y
50,val,0.8821831941604614,EO,0.9606,Y
50,test,0.8829045295715332,EO,0.9696,Y
