iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,1,115,0.5143063068389893,EQO,1.894,Y,Y
1,7,1293,0.8802596926689148,EQO,0.8566,Y,Y
1,9,348,0.8913200497627258,EQO,1.0,Y,Y
2,2,3543,0.8913200497627258,EQO,1.0,Y,Y
2,4,939,0.729742705821991,EQO,0.7773,Y,N
2,7,1293,0.8802596926689148,EQO,0.8981,Y,N
3,3,337,0.8922817707061768,EQO,1.0075,Y,Y
3,6,749,0.4986775815486908,EQO,0.6856,Y,N
3,9,939,0.736956000328064,EQO,0.8162,Y,N
4,3,337,0.8925222158432007,EQO,0.9907,N,Y
4,5,2932,0.8963693380355835,EQO,1.0876,N,Y
4,7,1565,0.8913200497627258,EQO,1.0,N,Y
4,9,1149,0.8831449747085571,EQO,0.89,N,N
5,1,115,0.7963452935218811,EQO,1.9552,Y,Y
5,6,348,0.8913200497627258,EQO,1.0,Y,Y
5,11,939,0.7398412823677063,EQO,0.8835,Y,N
5,12,1149,0.883625864982605,EQO,1.1262,Y,Y
6,1,115,0.7708584070205688,EQO,2.3394,Y,Y
6,2,3543,0.8913200497627258,EQO,1.0,Y,Y
6,5,2932,0.8966097831726074,EQO,0.9104,Y,N
6,11,1149,0.883625864982605,EQO,1.1491,Y,Y
7,4,659,0.8778552412986755,EQO,1.2266,Y,Y
7,5,348,0.8918009400367737,EQO,0.9991,Y,Y
7,7,144,0.7679730653762817,EQO,0.8028,Y,N
7,10,1149,0.8819427490234375,EQO,1.1595,Y,Y
8,1,115,0.7811974287033081,EQO,0.5494,N,N
8,5,348,0.8920413851737976,EQO,0.999,N,Y
8,8,645,0.4724693298339844,EQO,0.7522,N,N
8,10,939,0.7415243983268738,EQO,1.1078,N,Y
9,1,3543,0.8913200497627258,EQO,1.0,N,Y
9,5,1565,0.8913200497627258,EQO,1.0037,N,Y
9,12,115,0.7383986711502075,EQO,0.48,N,N
9,13,645,0.44361624121665955,EQO,0.6754,N,N
10,4,348,0.8918009400367737,EQO,0.9991,Y,Y
10,5,1565,0.8910796046257019,EQO,0.9991,Y,Y
10,6,104,0.8102909326553345,EQO,0.9175,Y,N
10,13,645,0.44986775517463684,EQO,1.2551,Y,Y
11,3,659,0.8785765767097473,EQO,1.2351,Y,Y
11,6,1149,0.8821831941604614,EQO,1.1735,Y,Y
11,10,144,0.7472950220108032,EQO,0.8358,Y,N
11,13,104,0.8028371930122375,EQO,0.9006,Y,N
12,3,659,0.876412570476532,EQO,0.8249,N,N
12,4,348,0.8918009400367737,EQO,1.0009,N,Y
12,7,939,0.7323876023292542,EQO,1.0935,N,Y
12,12,144,0.7405626177787781,EQO,1.1012,N,Y
13,3,348,0.8918009400367737,EQO,1.0009,N,Y
13,5,1149,0.8821831941604614,EQO,0.8649,N,N
13,7,156,0.7302235960960388,EQO,1.0832,N,Y
13,13,659,0.8771339058876038,EQO,0.8155,N,N
14,4,1565,0.8920413851737976,EQO,1.0121,N,Y
14,7,2776,0.8913200497627258,EQO,1.0,N,Y
14,9,645,0.43207502365112305,EQO,0.5772,N,N
14,12,1149,0.8807405829429626,EQO,0.8552,N,N
15,1,3543,0.8913200497627258,EQO,1.0,N,Y
15,2,337,0.8918009400367737,EQO,0.9882,N,Y
15,11,659,0.8759317398071289,EQO,0.8187,N,N
15,13,1149,0.8812214732170105,EQO,0.8521,N,N
16,4,1565,0.8920413851737976,EQO,1.0121,N,Y
16,7,2776,0.8913200497627258,EQO,1.0,N,Y
16,10,104,0.8011541366577148,EQO,0.9822,N,N
16,13,1149,0.8812214732170105,EQO,0.8557,N,N
17,1,3543,0.8913200497627258,EQO,1.0,N,Y
17,8,115,0.7612406611442566,EQO,0.5166,N,N
17,11,659,0.8735272884368896,EQO,0.8179,N,N
