iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,5,2039,0.8922817707061768,SP,1.0,N,Y
1,6,1320,0.8930031061172485,SP,1.001,N,Y
1,7,6127,0.8922817707061768,SP,1.0,N,Y
2,3,898,0.8093291521072388,SP,0.3789,Y,N
2,5,2039,0.8922817707061768,SP,1.0,Y,Y
2,7,6127,0.8922817707061768,SP,1.0,Y,Y
3,1,186,0.8093291521072388,SP,0.2334,Y,N
3,8,242,0.7283000946044922,SP,0.5588,Y,N
3,9,550,0.3411877751350403,SP,1.5601,Y,Y
4,3,2039,0.8922817707061768,SP,1.0,Y,Y
4,4,1320,0.8927626609802246,SP,0.9986,Y,Y
4,6,164,0.6573695540428162,SP,0.4348,Y,N
5,1,562,0.8922817707061768,SP,1.0,Y,Y
5,7,898,0.811733603477478,SP,0.3886,Y,N
5,8,186,0.7857658267021179,SP,0.2282,Y,N
6,4,1320,0.8932435512542725,SP,1.0009,Y,Y
6,5,6127,0.8922817707061768,SP,1.0,Y,Y
6,8,164,0.6939167976379395,SP,0.4064,Y,N
7,2,392,0.6246693730354309,SP,0.2534,Y,N
7,4,1320,0.8932435512542725,SP,1.0015,Y,Y
7,7,242,0.7121904492378235,SP,0.5034,Y,N
8,3,1320,0.8937244415283203,SP,1.0021,Y,Y
8,8,164,0.6970425844192505,SP,0.4131,Y,N
8,9,392,0.612406849861145,SP,0.2609,Y,N
9,3,1320,0.8932435512542725,SP,1.0026,Y,Y
9,5,550,0.30608320236206055,SP,1.6364,Y,Y
9,8,242,0.6963212490081787,SP,0.5703,Y,N
10,1,562,0.8922817707061768,SP,1.0,Y,Y
10,3,1320,0.8932435512542725,SP,1.0021,Y,Y
10,5,550,0.3039192259311676,SP,1.5737,Y,Y
11,2,2039,0.8922817707061768,SP,1.0,Y,Y
11,7,186,0.7713392376899719,SP,0.1982,Y,N
11,10,242,0.6734791994094849,SP,0.6208,Y,N
12,4,6127,0.8922817707061768,SP,1.0,Y,Y
12,5,550,0.2983890473842621,SP,1.6537,Y,Y
12,9,186,0.7775907516479492,SP,0.2033,Y,N
13,4,6127,0.8922817707061768,SP,1.0,Y,Y
13,6,898,0.8105313777923584,SP,0.3962,Y,N
13,7,164,0.6780475974082947,SP,0.4181,Y,N
14,2,2039,0.8922817707061768,SP,1.0,Y,Y
14,4,6127,0.8922817707061768,SP,1.0,Y,Y
14,7,242,0.699446976184845,SP,0.5617,Y,N
15,5,550,0.3019956648349762,SP,1.572,Y,Y
15,6,392,0.6095215082168579,SP,0.2404,Y,N
15,8,898,0.8062034249305725,SP,0.4036,Y,N
16,2,2039,0.8922817707061768,SP,1.0,Y,Y
16,4,6127,0.8922817707061768,SP,1.0,Y,Y
16,8,242,0.6780475974082947,SP,0.5727,Y,N
17,3,1320,0.8927626609802246,SP,1.0055,Y,Y
17,6,186,0.7843231558799744,SP,0.1702,Y,N
17,10,242,0.6811733841896057,SP,0.5752,Y,N
18,2,2039,0.8922817707061768,SP,1.0,Y,Y
18,6,164,0.6717960834503174,SP,0.3845,Y,N
18,8,898,0.8042798638343811,SP,0.4011,Y,N
19,3,1320,0.8927626609802246,SP,1.0038,Y,Y
19,5,550,0.29430150985717773,SP,1.6144,Y,Y
19,7,186,0.782399594783783,SP,0.1783,Y,N
20,1,562,0.8922817707061768,SP,1.0,Y,Y
20,6,392,0.5727338194847107,SP,0.2224,Y,N
