iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.5643183588981628,SP,0.116,Y
1,val,0.826881468296051,SP,0.1873,Y
1,test,0.8396248817443848,SP,0.2146,Y
2,val,0.8030776381492615,SP,0.1967,Y
2,test,0.8088482618331909,SP,0.2158,Y
3,val,0.8860303163528442,SP,0.562,Y
3,test,0.8937244415283203,SP,0.5812,Y
4,val,0.8869920372962952,SP,0.5645,Y
4,test,0.8925222158432007,SP,0.5753,Y
5,val,0.8937244415283203,SP,0.9009,Y
5,test,0.8970906734466553,SP,0.9009,Y
6,val,0.8932435512542725,SP,0.9292,Y
6,test,0.8949266672134399,SP,0.9264,Y
7,val,0.8893964886665344,SP,0.9827,Y
7,test,0.8920413851737976,SP,0.9715,Y
8,val,0.8896369338035583,SP,0.9811,Y
8,test,0.8922817707061768,SP,0.973,Y
9,val,0.8901178240776062,SP,0.9748,Y
9,test,0.8927626609802246,SP,0.967,Y
10,val,0.8978119492530823,SP,0.7911,Y
10,test,0.8978119492530823,SP,0.7883,Y
11,val,0.8978119492530823,SP,0.854,Y
11,test,0.8973311185836792,SP,0.8724,Y
12,val,0.8949266672134399,SP,0.8981,Y
12,test,0.8970906734466553,SP,0.9039,Y
13,val,0.8918009400367737,SP,0.9531,Y
13,test,0.8937244415283203,SP,0.9459,Y
14,val,0.8918009400367737,SP,0.95,Y
14,test,0.8934839963912964,SP,0.9474,Y
15,val,0.8903582692146301,SP,0.9751,Y
15,test,0.8925222158432007,SP,0.9685,Y
16,val,0.8891560435295105,SP,0.9874,Y
16,test,0.8910796046257019,SP,0.9805,Y
17,val,0.890839159488678,SP,0.9657,Y
17,test,0.8934839963912964,SP,0.9565,Y
18,val,0.8973311185836792,SP,0.8823,Y
18,test,0.8970906734466553,SP,0.8829,Y
19,val,0.8968502283096313,SP,0.8477,Y
19,test,0.8999759554862976,SP,0.8529,Y
20,val,0.8980523943901062,SP,0.8075,Y
20,test,0.8994950652122498,SP,0.7967,Y
21,val,0.8997355103492737,SP,0.8015,Y
21,test,0.8997355103492737,SP,0.789,Y
22,val,0.898773729801178,SP,0.8684,Y
22,test,0.8978119492530823,SP,0.8724,Y
23,val,0.8944457769393921,SP,0.9295,Y
23,test,0.8949266672134399,SP,0.9324,Y
24,val,0.8903582692146301,SP,0.9751,Y
24,test,0.8930031061172485,SP,0.9625,Y
25,val,0.8884347081184387,SP,0.9971,Y
25,test,0.8910796046257019,SP,0.9835,Y
26,val,0.8881942629814148,SP,0,Y
26,test,0.8898773789405823,SP,0.991,Y
27,val,0.8910796046257019,SP,0.9641,Y
27,test,0.8922817707061768,SP,0.961,Y
28,val,0.890598714351654,SP,0.9767,Y
28,test,0.890598714351654,SP,0.9775,Y
29,val,0.8881942629814148,SP,0,Y
29,test,0.8903582692146301,SP,0.988,Y
30,val,0.8893964886665344,SP,0.9877,Y
30,test,0.8910796046257019,SP,0.9835,Y
31,val,0.8930031061172485,SP,0.9452,Y
31,test,0.8937244415283203,SP,0.9489,Y
32,val,0.8901178240776062,SP,0.9767,Y
32,test,0.8910796046257019,SP,0.9745,Y
33,val,0.8922817707061768,SP,0.9531,Y
33,test,0.8932435512542725,SP,0.952,Y
34,val,0.8903582692146301,SP,0.9751,Y
34,test,0.8910796046257019,SP,0.9685,Y
35,val,0.8893964886665344,SP,0.9908,Y
35,test,0.8913200497627258,SP,0.982,Y
36,val,0.8884347081184387,SP,0.9984,Y
36,test,0.8903582692146301,SP,0.988,Y
37,val,0.8903582692146301,SP,0.9783,Y
37,test,0.890839159488678,SP,0.97,Y
38,val,0.8881942629814148,SP,0,Y
38,test,0.8896369338035583,SP,0.9955,Y
39,val,0.8973311185836792,SP,0.8033,Y
39,test,0.898773729801178,SP,0.8091,Y
40,val,0.8966097831726074,SP,0.9035,Y
40,test,0.8975715041160583,SP,0.9065,Y
41,val,0.8982928395271301,SP,0.8597,Y
41,test,0.8992546200752258,SP,0.861,Y
42,val,0.890839159488678,SP,0.9657,Y
42,test,0.8918009400367737,SP,0.964,Y
43,val,0.8884347081184387,SP,0.9984,Y
43,test,0.8898773789405823,SP,0.991,Y
44,val,0.8881942629814148,SP,0,Y
44,test,0.8893964886665344,SP,0,Y
45,val,0.8968502283096313,SP,0.8873,Y
45,test,0.8961288928985596,SP,0.8859,Y
46,val,0.8949266672134399,SP,0.9138,Y
46,test,0.8956480026245117,SP,0.9189,Y
47,val,0.8881942629814148,SP,0,Y
47,test,0.8898773789405823,SP,0.991,Y
48,val,0.8903582692146301,SP,0.9814,Y
48,test,0.8910796046257019,SP,0.9805,Y
49,val,0.8881942629814148,SP,0,Y
49,test,0.8893964886665344,SP,0,Y
50,val,0.8966097831726074,SP,0.8524,Y
50,test,0.8968502283096313,SP,0.8544,Y
