iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.5530175566673279,EQO,0.5812,Y
1,val,0.8526087999343872,EQO,0.5705,Y
1,test,0.8562154173851013,EQO,0.5749,Y
2,val,0.8886751532554626,EQO,0.5538,Y
2,test,0.8860303163528442,EQO,0.5658,Y
3,val,0.8942053318023682,EQO,0.6328,Y
3,test,0.8922817707061768,EQO,0.6392,Y
4,val,0.8975715041160583,EQO,0.651,Y
4,test,0.8939648866653442,EQO,0.6569,Y
5,val,0.898533284664154,EQO,0.6333,Y
5,test,0.8970906734466553,EQO,0.6262,Y
6,val,0.8891560435295105,EQO,0.4848,Y
6,test,0.8898773789405823,EQO,0.4712,Y
7,val,0.898533284664154,EQO,0.5408,Y
7,test,0.8956480026245117,EQO,0.5369,Y
8,val,0.883625864982605,EQO,0.487,Y
8,test,0.8869920372962952,EQO,0.4756,Y
9,val,0.8879538178443909,EQO,0.5016,Y
9,test,0.8896369338035583,EQO,0.4896,Y
10,val,0.887472927570343,EQO,0.5067,Y
10,test,0.8879538178443909,EQO,0.5026,Y
11,val,0.898533284664154,EQO,0.5818,Y
11,test,0.894686222076416,EQO,0.5724,Y
12,val,0.9002164006233215,EQO,0.6496,Y
12,test,0.8968502283096313,EQO,0.6359,Y
13,val,0.9004568457603455,EQO,0.6618,Y
13,test,0.8978119492530823,EQO,0.6625,Y
14,val,0.9047847986221313,EQO,0.6734,Y
14,test,0.9002164006233215,EQO,0.6949,Y
15,val,0.9035825729370117,EQO,0.737,Y
15,test,0.8999759554862976,EQO,0.7753,Y
16,val,0.9021399617195129,EQO,0.7292,Y
16,test,0.8994950652122498,EQO,0.7614,Y
17,val,0.9033421277999878,EQO,0.7495,Y
17,test,0.9006972908973694,EQO,0.7784,Y
18,val,0.9064679145812988,EQO,0.6818,Y
18,test,0.9006972908973694,EQO,0.6992,Y
19,val,0.9047847986221313,EQO,0.7124,Y
19,test,0.9002164006233215,EQO,0.7325,Y
20,val,0.9033421277999878,EQO,0.7642,Y
20,test,0.9016590714454651,EQO,0.7981,Y
21,val,0.9026208519935608,EQO,0.7607,Y
21,test,0.9014186263084412,EQO,0.7932,Y
22,val,0.9038230180740356,EQO,0.7404,Y
22,test,0.9004568457603455,EQO,0.7734,Y
23,val,0.9033421277999878,EQO,0.6852,Y
23,test,0.9006972908973694,EQO,0.7064,Y
24,val,0.905746579170227,EQO,0.6984,Y
24,test,0.9016590714454651,EQO,0.7167,Y
25,val,0.9035825729370117,EQO,0.7094,Y
25,test,0.8990141749382019,EQO,0.7273,Y
26,val,0.9038230180740356,EQO,0.7249,Y
26,test,0.9004568457603455,EQO,0.7562,Y
27,val,0.9016590714454651,EQO,0.7096,Y
27,test,0.8999759554862976,EQO,0.7267,Y
28,val,0.9009377360343933,EQO,0.7344,Y
28,test,0.898533284664154,EQO,0.7798,Y
29,val,0.9043039083480835,EQO,0.6998,Y
29,test,0.9009377360343933,EQO,0.7261,Y
30,val,0.905746579170227,EQO,0.7726,Y
30,test,0.8997355103492737,EQO,0.8006,Y
31,val,0.9021399617195129,EQO,0.8467,Y
31,test,0.8994950652122498,EQO,0.8977,Y
32,val,0.8973311185836792,EQO,0.9268,Y
32,test,0.8944457769393921,EQO,0.9834,Y
33,val,0.8973311185836792,EQO,0.9193,Y
33,test,0.8949266672134399,EQO,0.9649,Y
34,val,0.8752104043960571,EQO,0.9881,Y
34,test,0.864630937576294,EQO,0.9555,N
35,val,0.8694397807121277,EQO,0.9118,Y
35,test,0.8610242605209351,EQO,0.9846,Y
36,val,0.8821831941604614,EQO,0.9965,Y
36,test,0.8718441724777222,EQO,0.9312,N
37,val,0.8925222158432007,EQO,0.9097,Y
37,test,0.8855494260787964,EQO,0.9696,Y
38,val,0.8817023038864136,EQO,0.9004,Y
38,test,0.87232506275177,EQO,0.9239,Y
39,val,0.8922817707061768,EQO,0.9927,N
39,test,0.8877133727073669,EQO,0.959,N
40,val,0.8973311185836792,EQO,0.9366,Y
40,test,0.8975715041160583,EQO,0.96,Y
41,val,0.8968502283096313,EQO,0.9067,Y
41,test,0.898773729801178,EQO,0.9287,Y
42,val,0.898533284664154,EQO,0.9778,Y
42,test,0.8973311185836792,EQO,0.994,Y
43,val,0.890839159488678,EQO,0.8998,N
43,test,0.8886751532554626,EQO,0.8886,N
44,val,0.9026208519935608,EQO,0.8401,Y
44,test,0.9016590714454651,EQO,0.8639,Y
45,val,0.9031016826629639,EQO,0.7978,Y
45,test,0.9033421277999878,EQO,0.8338,Y
46,val,0.8975715041160583,EQO,0.996,Y
46,test,0.8973311185836792,EQO,0.9925,Y
47,val,0.8218321800231934,EQO,0.8028,N
47,test,0.8215917348861694,EQO,0.6886,N
48,val,0.8927626609802246,EQO,0.9948,Y
48,test,0.8939648866653442,EQO,0.9992,N
49,val,0.8925222158432007,EQO,0.998,N
49,test,0.8934839963912964,EQO,0.9981,N
50,val,0.8922817707061768,EQO,1.0,Y
50,test,0.8932435512542725,EQO,1.0,Y
