iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,3,599,0.771098792552948,EO,0.6539,Y,N
1,6,1982,0.8824236392974854,EO,1.0,Y,Y
1,8,509,0.7112286686897278,EO,0.6047,Y,N
2,3,3399,0.8934839963912964,EO,0.7242,Y,N
2,6,532,0.8025968074798584,EO,0.8849,Y,Y
2,8,1324,0.8824236392974854,EO,0.9977,Y,Y
2,12,381,0.8583794236183167,EO,0.8288,Y,Y
3,2,1737,0.8824236392974854,EO,1.0,Y,Y
3,6,287,0.8843472003936768,EO,0.9,Y,Y
3,10,128,0.8648713827133179,EO,0.7198,Y,N
3,12,328,0.8225535154342651,EO,0.6382,Y,N
4,1,1122,0.8893964886665344,EO,0.8799,Y,N
4,5,532,0.8569367527961731,EO,0.8822,Y,N
4,11,3071,0.8970906734466553,EO,0.8614,Y,N
4,14,164,0.8797788023948669,EO,0.749,Y,N
5,3,1982,0.8824236392974854,EO,1.0,Y,Y
5,7,347,0.883385419845581,EO,0.9977,Y,Y
5,12,176,0.887472927570343,EO,0.7322,Y,N
5,14,3071,0.8975715041160583,EO,0.8383,Y,N
6,1,1737,0.8824236392974854,EO,1.0,Y,Y
6,6,252,0.8829045295715332,EO,0.7002,Y,N
6,10,164,0.8857898712158203,EO,0.7203,Y,N
6,12,356,0.8898773789405823,EO,0.9152,Y,N
7,2,989,0.8780956864356995,EO,0.5823,Y,N
7,3,1982,0.8824236392974854,EO,1.0,Y,Y
7,5,1324,0.8824236392974854,EO,1.0,Y,Y
7,8,128,0.894686222076416,EO,0.8123,Y,N
7,12,3071,0.898773729801178,EO,0.8337,Y,N
8,1,1737,0.8824236392974854,EO,1.0,Y,Y
8,6,381,0.8918009400367737,EO,0.9234,Y,N
8,7,1122,0.8944457769393921,EO,0.9122,Y,N
8,10,124,0.8963693380355835,EO,0.8337,Y,N
8,14,320,0.868478000164032,EO,0.6743,Y,N
9,2,1982,0.8824236392974854,EO,1.0,Y,Y
9,3,287,0.8925222158432007,EO,0.9723,Y,N
9,4,1324,0.8824236392974854,EO,1.0,Y,Y
9,6,164,0.890598714351654,EO,0.7513,Y,N
