iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.49915844202041626,EO,0.1644,Y
1,val,0.8150997757911682,EO,0.3015,Y
1,test,0.819908618927002,EO,0.3516,Y
2,val,0.8581389784812927,EO,0.5261,Y
2,test,0.853330135345459,EO,0.5521,Y
3,val,0.8841067552566528,EO,0.73,Y
3,test,0.8759317398071289,EO,0.7507,Y
4,val,0.8954075574874878,EO,0.8709,Y
4,test,0.8848280906677246,EO,0.8722,Y
5,val,0.8891560435295105,EO,0.7341,Y
5,test,0.8843472003936768,EO,0.7465,Y
6,val,0.8925222158432007,EO,0.7441,Y
6,test,0.8865112066268921,EO,0.7566,Y
7,val,0.8992546200752258,EO,0.863,Y
7,test,0.8893964886665344,EO,0.8641,Y
8,val,0.9002164006233215,EO,0.8996,Y
8,test,0.890598714351654,EO,0.9087,Y
9,val,0.9002164006233215,EO,0.9365,Y
9,test,0.890839159488678,EO,0.9533,Y
10,val,0.9002164006233215,EO,0.9406,Y
10,test,0.8913200497627258,EO,0.9615,Y
11,val,0.8994950652122498,EO,0.959,Y
11,test,0.8918009400367737,EO,0.9716,Y
12,val,0.8992546200752258,EO,0.959,Y
12,test,0.8915604948997498,EO,0.9736,Y
13,val,0.8982928395271301,EO,0.9877,Y
13,test,0.8889155983924866,EO,0.9878,Y
14,val,0.8990141749382019,EO,0.9713,Y
14,test,0.890839159488678,EO,0.9817,Y
15,val,0.898533284664154,EO,0.9877,Y
15,test,0.8886751532554626,EO,0.9858,Y
16,val,0.8978119492530823,EO,0.9898,Y
16,test,0.8879538178443909,EO,0.9878,Y
17,val,0.8973311185836792,EO,0.9918,Y
17,test,0.8877133727073669,EO,0.9878,Y
18,val,0.898533284664154,EO,0.9898,Y
18,test,0.8881942629814148,EO,0.9858,Y
19,val,0.8980523943901062,EO,0.9939,Y
19,test,0.8877133727073669,EO,0.9858,Y
20,val,0.8973311185836792,EO,0,Y
20,test,0.8869920372962952,EO,0.998,Y
21,val,0.8980523943901062,EO,0.9836,Y
21,test,0.8889155983924866,EO,0.9858,Y
22,val,0.8982928395271301,EO,0.9918,Y
22,test,0.8879538178443909,EO,0.9858,Y
23,val,0.8980523943901062,EO,0.998,Y
23,test,0.8877133727073669,EO,0.9919,Y
24,val,0.8975715041160583,EO,0,Y
24,test,0.8872324824333191,EO,0.9959,Y
25,val,0.898533284664154,EO,0.998,Y
25,test,0.887472927570343,EO,0.9919,Y
26,val,0.8975715041160583,EO,0,Y
26,test,0.8872324824333191,EO,0.9959,Y
27,val,0.8982928395271301,EO,0.9939,Y
27,test,0.8881942629814148,EO,0.9878,Y
28,val,0.8970906734466553,EO,0,Y
28,test,0.886751651763916,EO,0.9959,Y
29,val,0.8982928395271301,EO,0.9898,Y
29,test,0.8884347081184387,EO,0.9838,Y
30,val,0.8980523943901062,EO,0.9939,Y
30,test,0.8884347081184387,EO,0.9899,Y
31,val,0.8973311185836792,EO,0,Y
31,test,0.8869920372962952,EO,0.9959,Y
32,val,0.898773729801178,EO,0.9959,Y
32,test,0.8889155983924866,EO,0.9919,Y
33,val,0.898773729801178,EO,0,Y
33,test,0.8879538178443909,EO,0.9959,Y
34,val,0.8994950652122498,EO,0.9845,Y
34,test,0.8891560435295105,EO,0.978,Y
35,val,0.8990141749382019,EO,0.9948,Y
35,test,0.8891560435295105,EO,0.9884,Y
36,val,0.8990141749382019,EO,0.991,Y
36,test,0.8891560435295105,EO,0.9844,Y
37,val,0.8994950652122498,EO,0.9997,N
37,test,0.8886751532554626,EO,0.9939,Y
38,val,0.9009377360343933,EO,0.9916,Y
38,test,0.8889155983924866,EO,0.9833,Y
39,val,0.8982928395271301,EO,0.9991,N
39,test,0.8884347081184387,EO,0.9994,N
40,val,0.8992546200752258,EO,0.9989,Y
40,test,0.8896369338035583,EO,0.9945,Y
41,val,0.8970906734466553,EO,0,Y
41,test,0.8869920372962952,EO,0,Y
42,val,0.901899516582489,EO,0.9867,Y
42,test,0.8903582692146301,EO,0.9798,Y
43,val,0.8978119492530823,EO,0,Y
43,test,0.887472927570343,EO,0,Y
44,val,0.8994950652122498,EO,0.9968,Y
44,test,0.8898773789405823,EO,0.9945,Y
45,val,0.9011781811714172,EO,0.9854,Y
45,test,0.8898773789405823,EO,0.9789,Y
46,val,0.8963693380355835,EO,0,Y
46,test,0.8865112066268921,EO,0,Y
47,val,0.9004568457603455,EO,0.9766,Y
47,test,0.890598714351654,EO,0.9783,Y
48,val,0.8973311185836792,EO,0,Y
48,test,0.8869920372962952,EO,0.9959,Y
49,val,0.9052656888961792,EO,0.9031,Y
49,test,0.8997355103492737,EO,0.936,Y
50,val,0.8992546200752258,EO,0.998,Y
50,test,0.8872324824333191,EO,0.9878,Y
