iter,dataType,Acc,fairType,fairValue,Privileged
0,val,0.4412118196487427,EQO,0.5352,N
1,val,0.8083673715591431,EQO,0.8782,N
1,test,0.8160615563392639,EQO,0.8302,N
2,val,0.8651118278503418,EQO,0.854,Y
2,test,0.8699206709861755,EQO,0.8826,Y
3,val,0.8824236392974854,EQO,0.9008,Y
3,test,0.8845876455307007,EQO,0.9135,Y
4,val,0.8857898712158203,EQO,0.8078,Y
4,test,0.890839159488678,EQO,0.7991,Y
5,val,0.890598714351654,EQO,0.886,Y
5,test,0.8937244415283203,EQO,0.8973,Y
6,val,0.8915604948997498,EQO,0.9041,Y
6,test,0.8932435512542725,EQO,0.9163,Y
7,val,0.8934839963912964,EQO,0.8703,Y
7,test,0.8951671123504639,EQO,0.8801,Y
8,val,0.8939648866653442,EQO,0.8653,Y
8,test,0.8949266672134399,EQO,0.863,Y
9,val,0.8937244415283203,EQO,0.8678,Y
9,test,0.8949266672134399,EQO,0.8668,Y
10,val,0.8915604948997498,EQO,0.8972,Y
10,test,0.8939648866653442,EQO,0.8933,Y
11,val,0.8918009400367737,EQO,0.9016,Y
11,test,0.8932435512542725,EQO,0.8978,Y
12,val,0.8910796046257019,EQO,0.9334,Y
12,test,0.8930031061172485,EQO,0.9241,Y
13,val,0.8925222158432007,EQO,0.8993,Y
13,test,0.8939648866653442,EQO,0.8899,Y
14,val,0.890839159488678,EQO,0.9308,Y
14,test,0.8927626609802246,EQO,0.9192,Y
15,val,0.8903582692146301,EQO,0.9358,Y
15,test,0.8925222158432007,EQO,0.9259,Y
16,val,0.8901178240776062,EQO,0.9513,Y
16,test,0.8927626609802246,EQO,0.9274,Y
17,val,0.8901178240776062,EQO,0.9586,Y
17,test,0.894686222076416,EQO,0.9538,Y
18,val,0.8903582692146301,EQO,0.9488,Y
18,test,0.8939648866653442,EQO,0.9408,Y
19,val,0.8903582692146301,EQO,0.962,Y
19,test,0.8949266672134399,EQO,0.9588,Y
20,val,0.8891560435295105,EQO,0.9692,Y
20,test,0.8913200497627258,EQO,0.9547,Y
21,val,0.8884347081184387,EQO,0.9806,Y
21,test,0.8903582692146301,EQO,0.9652,Y
22,val,0.890598714351654,EQO,0.9565,Y
22,test,0.8913200497627258,EQO,0.947,Y
23,val,0.8889155983924866,EQO,0.9775,Y
23,test,0.890598714351654,EQO,0.9631,Y
24,val,0.8886751532554626,EQO,0.9835,Y
24,test,0.8910796046257019,EQO,0.9735,Y
25,val,0.8886751532554626,EQO,0.9824,Y
25,test,0.8903582692146301,EQO,0.9697,Y
26,val,0.8889155983924866,EQO,0.9775,Y
26,test,0.890598714351654,EQO,0.9669,Y
27,val,0.8889155983924866,EQO,0.9833,Y
27,test,0.8896369338035583,EQO,0.9812,Y
28,val,0.8889155983924866,EQO,0.9853,Y
28,test,0.890598714351654,EQO,0.9882,Y
29,val,0.8879538178443909,EQO,0.9989,Y
29,test,0.8893964886665344,EQO,0.9969,Y
30,val,0.8889155983924866,EQO,0.9995,N
30,test,0.8898773789405823,EQO,0.9936,N
31,val,0.8886751532554626,EQO,0.9935,Y
31,test,0.890839159488678,EQO,0.999,Y
32,val,0.8886751532554626,EQO,0.9935,Y
32,test,0.890839159488678,EQO,0.9943,N
33,val,0.8884347081184387,EQO,0.9998,Y
33,test,0.8903582692146301,EQO,0.9758,N
34,val,0.8889155983924866,EQO,0.9971,Y
34,test,0.8913200497627258,EQO,0.9932,N
35,val,0.8891560435295105,EQO,0.9871,Y
35,test,0.8903582692146301,EQO,0.9864,Y
36,val,0.8891560435295105,EQO,0.9891,Y
36,test,0.8901178240776062,EQO,0.9865,Y
37,val,0.8869920372962952,EQO,0.9698,N
37,test,0.8918009400367737,EQO,0.9401,N
38,val,0.8891560435295105,EQO,0.9985,Y
38,test,0.8944457769393921,EQO,0.9897,N
39,val,0.8881942629814148,EQO,0.9979,Y
39,test,0.890839159488678,EQO,0.9801,N
40,val,0.8881942629814148,EQO,0.9928,N
40,test,0.8893964886665344,EQO,0.9888,N
41,val,0.8898773789405823,EQO,0.9618,Y
41,test,0.8939648866653442,EQO,0.9829,Y
42,val,0.8903582692146301,EQO,0.98,Y
42,test,0.8922817707061768,EQO,0.9882,Y
43,val,0.8881942629814148,EQO,0.9993,Y
43,test,0.8896369338035583,EQO,0.9962,N
44,val,0.8881942629814148,EQO,0.9993,Y
44,test,0.8901178240776062,EQO,0.9965,N
45,val,0.8865112066268921,EQO,0.9579,N
45,test,0.8927626609802246,EQO,0.9196,N
46,val,0.8903582692146301,EQO,0.9505,Y
46,test,0.894686222076416,EQO,0.983,Y
47,val,0.8872324824333191,EQO,1.0,Y
47,test,0.8886751532554626,EQO,1.0,Y
48,val,0.8872324824333191,EQO,1.0,Y
48,test,0.8886751532554626,EQO,1.0,Y
49,val,0.8857898712158203,EQO,0.9682,N
49,test,0.890598714351654,EQO,0.9472,N
50,val,0.8910796046257019,EQO,0.9366,Y
50,test,0.8915604948997498,EQO,0.9253,Y
