iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,4,660,0.8586198687553406,EQO,0.915,N,Y
1,5,869,0.8860303163528442,EQO,1.0425,N,Y
1,7,1082,0.8853089809417725,EQO,1.0419,N,Y
2,4,660,0.8744890689849854,EQO,0.9588,N,Y
2,5,869,0.8860303163528442,EQO,1.035,N,Y
2,7,1082,0.8848280906677246,EQO,1.0302,N,Y
3,4,660,0.8792979121208191,EQO,1.0366,Y,Y
3,5,869,0.8860303163528442,EQO,0.9854,Y,N
3,8,1073,0.8482808470726013,EQO,0.3387,Y,N
4,1,2511,0.8896369338035583,EQO,0.9111,Y,N
4,5,1911,0.8850685358047485,EQO,1.0,Y,Y
4,8,679,0.876412570476532,EQO,0.5108,Y,N
5,9,873,0.8720846176147461,EQO,0.4232,Y,N
5,11,2327,0.8850685358047485,EQO,1.0,Y,Y
5,12,236,0.8559749722480774,EQO,0.565,Y,N
5,13,443,0.8853089809417725,EQO,0.9973,Y,Y
6,1,502,0.8689588904380798,EQO,0.9379,Y,N
6,2,1077,0.8696802258491516,EQO,0.4583,Y,N
6,5,1082,0.8877133727073669,EQO,0.9368,Y,N
6,13,116,0.8860303163528442,EQO,0.6911,Y,N
7,6,184,0.8591007590293884,EQO,0.5474,Y,N
7,8,443,0.8857898712158203,EQO,0.9881,Y,Y
7,9,873,0.8728059530258179,EQO,0.4233,Y,N
7,15,140,0.8704015612602234,EQO,0.5807,Y,N
7,17,116,0.8817023038864136,EQO,0.5866,Y,N
8,8,120,0.8780956864356995,EQO,0.5506,Y,N
8,11,308,0.8393844962120056,EQO,0.5435,Y,N
8,12,769,0.8893964886665344,EQO,0.7518,Y,N
8,15,873,0.8708824515342712,EQO,0.4047,Y,N
8,17,116,0.8778552412986755,EQO,0.5484,Y,N
9,1,660,0.883625864982605,EQO,1.0721,Y,Y
9,5,200,0.8441933393478394,EQO,0.4936,Y,N
9,6,2327,0.8850685358047485,EQO,1.0,Y,Y
9,9,326,0.8838663101196289,EQO,0.969,Y,Y
9,16,769,0.8910796046257019,EQO,0.712,Y,N
