iter,client,numData,Acc,fairType,fairValue,Privileged,higher
1,3,2401,0.8949266672134399,SP,0.9875,Y,Y
1,5,1409,0.8415484428405762,SP,0.3644,Y,N
1,7,566,0.7489781379699707,SP,0.5595,Y,N
2,4,917,0.879538357257843,SP,0.765,Y,Y
2,5,463,0.8742486238479614,SP,0.8909,Y,Y
2,6,1055,0.8566963076591492,SP,0.5788,Y,N
2,11,160,0.8037989735603333,SP,0.5964,Y,N
3,3,2401,0.8956480026245117,SP,0.9828,Y,Y
3,4,917,0.8821831941604614,SP,0.7756,Y,Y
3,9,1297,0.8694397807121277,SP,0.3579,Y,N
3,12,635,0.8927626609802246,SP,0.9605,Y,Y
4,1,357,0.8886751532554626,SP,0.7035,Y,N
4,4,917,0.8915604948997498,SP,0.7566,Y,Y
4,9,406,0.8896369338035583,SP,0.6303,Y,N
4,13,1297,0.8704015612602234,SP,0.3511,Y,N
5,3,917,0.8915604948997498,SP,0.7105,Y,Y
5,5,2647,0.8961288928985596,SP,0.9859,Y,Y
5,10,160,0.8600625395774841,SP,0.5205,Y,N
5,12,406,0.8889155983924866,SP,0.5483,Y,N
6,2,2401,0.8975715041160583,SP,0.9797,Y,Y
6,5,2647,0.8963693380355835,SP,0.9875,Y,Y
6,10,357,0.8932435512542725,SP,0.6831,Y,N
6,13,406,0.8956480026245117,SP,0.5962,Y,N
7,1,1264,0.8910796046257019,SP,1.0074,Y,Y
7,5,2647,0.8973311185836792,SP,0.9812,Y,Y
7,7,112,0.8927626609802246,SP,0.617,Y,N
7,8,420,0.8386631608009338,SP,0.56,Y,N
8,7,635,0.8961288928985596,SP,0.9891,Y,Y
8,10,357,0.8968502283096313,SP,0.752,Y,N
8,12,112,0.890598714351654,SP,0.6521,Y,N
8,13,208,0.8865112066268921,SP,0.6602,Y,N
9,4,463,0.8992546200752258,SP,0.925,Y,Y
9,5,2647,0.8970906734466553,SP,0.9828,Y,Y
9,6,1401,0.8944457769393921,SP,1.0,Y,Y
9,15,104,0.898533284664154,SP,0.75,Y,N
10,1,1264,0.8893964886665344,SP,1.0293,Y,Y
10,10,406,0.9004568457603455,SP,0.6496,Y,N
10,11,212,0.8785765767097473,SP,0.6656,Y,N
10,12,357,0.8978119492530823,SP,0.7479,Y,N
11,2,2401,0.898533284664154,SP,0.969,Y,Y
11,4,463,0.8944457769393921,SP,0.9615,Y,Y
11,5,2647,0.8968502283096313,SP,0.9844,Y,Y
11,6,1401,0.8944457769393921,SP,1.0,Y,Y
11,8,1297,0.8752104043960571,SP,0.3992,Y,N
12,2,2401,0.8982928395271301,SP,0.9737,Y,Y
12,6,1401,0.8944457769393921,SP,1.0,Y,Y
12,8,160,0.8821831941604614,SP,0.6886,Y,N
12,9,112,0.890839159488678,SP,0.6914,Y,N
12,16,1297,0.875450849533081,SP,0.4019,Y,N
13,3,917,0.8954075574874878,SP,0.7908,Y,N
